,3,4,5,6,7
0,A&M-Corpus Chris,UTRGV,V,94,72
1,A&M-Corpus Chris,Texas St.,V,73,69
2,A&M-Corpus Chris,UTRGV,H,84,68
3,A&M-Corpus Chris,Cal Poly,V,70,82
4,A&M-Corpus Chris,Texas A&M,V,69,86
5,A&M-Corpus Chris,UTSA,H,73,69
6,A&M-Corpus Chris,Saint Mary's (CA),V,46,67
7,A&M-Corpus Chris,Oklahoma St.,V,70,92
8,A&M-Corpus Chris,New Orleans,V,72,73
9,A&M-Corpus Chris,Nicholls St.,V,64,68
10,A&M-Corpus Chris,Northwestern St.,H,99,82
11,A&M-Corpus Chris,SFA,V,46,79
12,A&M-Corpus Chris,Central Ark.,H,88,81
13,A&M-Corpus Chris,SFA,H,58,61
14,A&M-Corpus Chris,Sam Houston St.,V,62,76
15,A&M-Corpus Chris,Lamar University,V,69,66
16,A&M-Corpus Chris,Abilene Christian,H,72,60
17,A&M-Corpus Chris,Houston Baptist,H,90,79
18,A&M-Corpus Chris,Southeastern La.,H,80,75
19,A&M-Corpus Chris,McNeese,V,73,66
20,A&M-Corpus Chris,Incarnate Word,V,97,81
21,A&M-Corpus Chris,Lamar University,H,70,63
22,A&M-Corpus Chris,Abilene Christian,V,56,44
23,A&M-Corpus Chris,McNeese,H,81,70
24,A&M-Corpus Chris,Houston Baptist,V,80,94
25,A&M-Corpus Chris,Incarnate Word,H,81,64
26,A&M-Corpus Chris,SFA,N,77,69
27,A&M-Corpus Chris,New Orleans,N,65,68
28,A&M-Corpus Chris,Georgia St.,H,80,64
29,A&M-Corpus Chris,Weber St.,H,82,73
30,A&M-Corpus Chris,Fort Wayne,H,78,62
31,A&M-Corpus Chris,UMBC,V,79,61
32,A&M-Corpus Chris,Saint Peter's,H,61,62
33,Abilene Christian,New Hampshire,V,65,57
34,Abilene Christian,Charleston So.,H,65,66
35,Abilene Christian,Oklahoma,V,64,72
36,Abilene Christian,New Mexico,V,55,64
37,Abilene Christian,Charleston So.,V,85,82
38,Abilene Christian,Sacramento St.,V,86,88
39,Abilene Christian,San Francisco,V,51,86
40,Abilene Christian,New Orleans,V,66,75
41,Abilene Christian,Southeastern La.,V,53,75
42,Abilene Christian,Central Ark.,H,76,81
43,Abilene Christian,SFA,H,69,60
44,Abilene Christian,Southeastern La.,H,50,56
45,Abilene Christian,Lamar University,H,67,64
46,Abilene Christian,Nicholls St.,V,59,62
47,Abilene Christian,Incarnate Word,V,79,82
48,Abilene Christian,A&M-Corpus Chris,V,60,72
49,Abilene Christian,New Orleans,H,70,69
50,Abilene Christian,Sam Houston St.,H,71,64
51,Abilene Christian,Central Ark.,V,73,84
52,Abilene Christian,Northwestern St.,H,76,72
53,Abilene Christian,McNeese,V,82,78
54,Abilene Christian,A&M-Corpus Chris,H,44,56
55,Abilene Christian,Sam Houston St.,V,84,81
56,Abilene Christian,Incarnate Word,H,75,89
57,Abilene Christian,Houston Baptist,V,72,81
