,3,4,5,6,7
125,Alabama,Rhode Island,V,79.0,93.0
126,Alabama,Furman,H,81.0,73.0
127,Alabama,North Carolina,N,67.0,76.0
128,Alabama,Iowa St.,N,89.0,104.0
129,Alabama,Southern Miss.,N,83.0,68.0
130,Alabama,SFA,H,78.0,68.0
131,Alabama,Penn St.,V,71.0,73.0
132,Alabama,Samford,V,105.0,87.0
133,Alabama,Belmont,N,92.0,72.0
134,Alabama,Richmond,H,90.0,78.0
135,Alabama,Florida,V,98.0,104.0
136,Alabama,Mississippi St.,H,90.0,69.0
137,Alabama,Kentucky,V,67.0,76.0
138,Alabama,Auburn,H,83.0,64.0
139,Alabama,Missouri,H,88.0,74.0
140,Alabama,Vanderbilt,V,77.0,62.0
141,Alabama,Kansas St.,H,77.0,74.0
142,Alabama,LSU,V,76.0,90.0
143,Alabama,Arkansas,H,78.0,82.0
144,Alabama,Tennessee,H,68.0,69.0
145,Alabama,Georgia,V,105.0,102.0
146,Alabama,Auburn,V,91.0,95.0
147,Alabama,LSU,H,88.0,82.0
148,Alabama,Texas A&M,H,68.0,74.0
149,Alabama,Ole Miss,V,103.0,78.0
150,Alabama,Mississippi St.,V,73.0,80.0
151,Alabama,South Carolina,H,,
152,Alabama,Vanderbilt,H,,
153,Alabama,Missouri,V,,
154,Alabama A&M,Tennessee St.,V,66.0,106.0
155,Alabama A&M,UAB,V,52.0,74.0
156,Alabama A&M,Cincinnati,V,53.0,85.0
157,Alabama A&M,Miami (OH),V,63.0,79.0
158,Alabama A&M,Clemson,V,51.0,87.0
159,Alabama A&M,Troy,H,80.0,66.0
160,Alabama A&M,Jacksonville St.,H,67.0,62.0
161,Alabama A&M,Miami (FL),V,74.0,88.0
162,Alabama A&M,South Alabama,V,79.0,89.0
163,Alabama A&M,North Ala.,H,92.0,80.0
164,Alabama A&M,Notre Dame,V,56.0,82.0
165,Alabama A&M,Grambling,V,60.0,70.0
166,Alabama A&M,Jackson St.,V,66.0,57.0
167,Alabama A&M,Ark.-Pine Bluff,H,59.0,49.0
168,Alabama A&M,Mississippi Val.,H,66.0,72.0
169,Alabama A&M,Alabama St.,H,56.0,65.0
170,Alabama A&M,Alcorn,V,58.0,59.0
171,Alabama A&M,Southern U.,V,46.0,67.0
172,Alabama A&M,Texas Southern,H,73.0,82.0
173,Alabama A&M,Prairie View,H,54.0,69.0
174,Alabama A&M,Ark.-Pine Bluff,V,58.0,54.0
175,Alabama A&M,Mississippi Val.,V,61.0,67.0
176,Alabama A&M,Alabama St.,V,58.0,61.0
177,Alabama A&M,Alcorn,H,71.0,61.0
178,Alabama A&M,Southern U.,H,37.0,64.0
179,Alabama A&M,Texas Southern,V,,
180,Alabama A&M,Prairie View,V,,
181,Alabama A&M,Grambling,H,,
182,Alabama A&M,Jackson St.,H,,
183,Alabama St.,Gonzaga,V,64.0,95.0
184,Alabama St.,Missouri St.,V,50.0,59.0
185,Alabama St.,Houston,V,56.0,84.0
186,Alabama St.,Tennessee,V,41.0,76.0
187,Alabama St.,VCU,V,62.0,78.0
188,Alabama St.,Chattanooga,N,56.0,74.0
189,Alabama St.,Chicago St.,N,67.0,54.0
190,Alabama St.,South Dakota,V,59.0,73.0
191,Alabama St.,Kansas St.,V,41.0,86.0
192,Alabama St.,Boise St.,V,57.0,100.0
193,Alabama St.,UAB,N,63.0,71.0
194,Alabama St.,Austin Peay,N,69.0,80.0
195,Alabama St.,Oregon,V,59.0,98.0
196,Alabama St.,Jackson St.,V,67.0,70.0
197,Alabama St.,Grambling,V,63.0,68.0
198,Alabama St.,Mississippi Val.,H,81.0,75.0
199,Alabama St.,Ark.-Pine Bluff,H,56.0,61.0
200,Alabama St.,Alabama A&M,V,65.0,56.0
201,Alabama St.,Southern U.,V,71.0,80.0
202,Alabama St.,Alcorn,V,60.0,63.0
203,Alabama St.,Prairie View,H,52.0,49.0
204,Alabama St.,Texas Southern,H,79.0,55.0
205,Alabama St.,Mississippi Val.,V,87.0,74.0
206,Alabama St.,Ark.-Pine Bluff,V,57.0,49.0
207,Alabama St.,Alabama A&M,H,61.0,58.0
208,Alabama St.,Southern U.,H,44.0,56.0
209,Alabama St.,Alcorn,H,77.0,80.0
210,Alabama St.,Prairie View,V,,
211,Alabama St.,Texas Southern,V,,
212,Alabama St.,Jackson St.,H,,
213,Alabama St.,Grambling,H,,
214,Albany (NY),Lehigh,H,70.0,74.0
215,Albany (NY),Canisius,H,83.0,57.0
216,Albany (NY),Manhattan,V,51.0,57.0
217,Albany (NY),SUNY Potsdam,H,78.0,52.0
218,Albany (NY),Quinnipiac,V,69.0,86.0
219,Albany (NY),Sacred Heart,N,72.0,65.0
220,Albany (NY),Presbyterian,N,65.0,60.0
221,Albany (NY),American,H,68.0,64.0
222,Albany (NY),Yale,H,52.0,61.0
223,Albany (NY),Bucknell,V,64.0,65.0
224,Albany (NY),Boston College,V,51.0,72.0
225,Albany (NY),Niagara,H,84.0,80.0
226,Albany (NY),St. John's (NY),V,57.0,85.0
227,Albany (NY),Monmouth,V,70.0,72.0
228,Albany (NY),Columbia,V,67.0,66.0
229,Albany (NY),Binghamton,V,74.0,62.0
230,Albany (NY),Maine,H,76.0,70.0
231,Albany (NY),New Hampshire,V,76.0,73.0
232,Albany (NY),Stony Brook,V,62.0,70.0
233,Albany (NY),UMass Lowell,H,101.0,75.0
234,Albany (NY),Hartford,H,48.0,62.0
235,Albany (NY),UMBC,V,67.0,63.0
236,Albany (NY),Vermont,H,75.0,86.0
237,Albany (NY),Binghamton,H,62.0,49.0
238,Albany (NY),Hartford,V,60.0,66.0
239,Albany (NY),Maine,V,66.0,60.0
240,Albany (NY),UMBC,H,50.0,69.0
241,Albany (NY),New Hampshire,H,56.0,68.0
242,Albany (NY),UMass Lowell,V,69.0,88.0
243,Albany (NY),Stony Brook,H,,
244,Albany (NY),Vermont,V,,
245,Alcorn,DePaul,V,54.0,72.0
246,Alcorn,La.-Monroe,V,72.0,73.0
247,Alcorn,Paul Quinn,H,111.0,59.0
248,Alcorn,Memphis,V,56.0,102.0
249,Alcorn,NC State,V,64.0,87.0
250,Alcorn,Our Lady of the Lake,H,92.0,56.0
251,Alcorn,Little Rock,V,50.0,67.0
252,Alcorn,Rust,H,108.0,62.0
253,Alcorn,Tulane,V,57.0,68.0
254,Alcorn,Ecclesia,H,122.0,71.0
255,Alcorn,Santa Clara,V,57.0,92.0
256,Alcorn,Prairie View,V,70.0,84.0
257,Alcorn,Texas Southern,V,95.0,80.0
258,Alcorn,Jackson St.,H,65.0,76.0
259,Alcorn,Grambling,H,87.0,69.0
260,Alcorn,Mississippi Val.,V,105.0,73.0
261,Alcorn,Ark.-Pine Bluff,V,82.0,54.0
262,Alcorn,Alabama A&M,H,59.0,58.0
263,Alcorn,Alabama St.,H,63.0,60.0
264,Alcorn,Southern U.,V,82.0,93.0
265,Alcorn,Jackson St.,V,57.0,86.0
266,Alcorn,Grambling,V,71.0,80.0
267,Alcorn,Mississippi Val.,H,92.0,88.0
268,Alcorn,Ark.-Pine Bluff,H,60.0,52.0
269,Alcorn,Alabama A&M,V,61.0,71.0
270,Alcorn,Alabama St.,V,80.0,77.0
271,Alcorn,Southern U.,H,,
272,Alcorn,Prairie View,H,,
273,Alcorn,Texas Southern,H,,
274,American,Siena,V,80.0,96.0
275,American,William & Mary,H,70.0,79.0
276,American,George Washington,V,67.0,65.0
277,American,Saint Francis (PA),V,76.0,79.0
278,American,Howard,H,86.0,69.0
279,American,Albany (NY),V,64.0,68.0
280,American,UMBC,H,85.0,61.0
281,American,George Mason,V,53.0,68.0
282,American,Mount St. Mary's,V,82.0,76.0
283,American,Stony Brook,H,74.0,77.0
284,American,Georgetown,V,60.0,80.0
285,American,Colgate,V,51.0,65.0
286,American,Boston U.,H,67.0,63.0
287,American,Army West Point,V,68.0,60.0
288,American,Lehigh,V,73.0,82.0
289,American,Bucknell,H,61.0,60.0
290,American,Holy Cross,H,81.0,69.0
291,American,Loyola Maryland,V,93.0,91.0
292,American,Colgate,H,69.0,79.0
293,American,Lehigh,H,77.0,56.0
294,American,Lafayette,V,70.0,82.0
295,American,Navy,V,62.0,54.0
296,American,Army West Point,H,72.0,62.0
297,American,Loyola Maryland,H,81.0,76.0
298,American,Bucknell,V,68.0,72.0
299,American,Navy,H,71.0,62.0
300,American,Boston U.,V,60.0,64.0
301,American,Lafayette,H,79.0,59.0
302,American,Holy Cross,V,,
303,Appalachian St.,Michigan,V,71.0,79.0
304,Appalachian St.,Ferrum,H,83.0,56.0
305,Appalachian St.,East Carolina,H,68.0,62.0
306,Appalachian St.,Montana St.,N,56.0,59.0
307,Appalachian St.,Tennessee Tech,N,69.0,47.0
308,Appalachian St.,UNC Greensboro,V,41.0,55.0
309,Appalachian St.,Charlotte,H,64.0,55.0
310,Appalachian St.,ETSU,V,69.0,78.0
311,Appalachian St.,St. Andrews,H,90.0,58.0
312,Appalachian St.,Howard,V,81.0,59.0
313,Appalachian St.,South Alabama,V,81.0,71.0
314,Appalachian St.,Troy,V,70.0,65.0
315,Appalachian St.,NC State,V,60.0,72.0
316,Appalachian St.,Georgia St.,H,60.0,69.0
317,Appalachian St.,Ga. Southern,H,74.0,72.0
318,Appalachian St.,Louisiana,H,73.0,81.0
319,Appalachian St.,UT Arlington,V,56.0,66.0
320,Appalachian St.,Texas St.,V,57.0,82.0
321,Appalachian St.,Arkansas St.,H,83.0,80.0
322,Appalachian St.,Little Rock,H,57.0,73.0
323,Appalachian St.,Coastal Carolina,V,78.0,58.0
324,Appalachian St.,Arkansas St.,V,71.0,64.0
325,Appalachian St.,Little Rock,V,86.0,93.0
326,Appalachian St.,UT Arlington,H,57.0,50.0
327,Appalachian St.,Texas St.,H,60.0,57.0
328,Appalachian St.,Georgia St.,V,65.0,76.0
329,Appalachian St.,Ga. Southern,V,62.0,57.0
330,Appalachian St.,South Alabama,H,70.0,78.0
331,Appalachian St.,Troy,H,68.0,59.0
332,Appalachian St.,Coastal Carolina,H,,
333,Appalachian St.,La.-Monroe,V,,
334,Arizona,Northern Ariz.,H,91.0,52.0
335,Arizona,Illinois,H,90.0,69.0
336,Arizona,San Jose St.,H,87.0,39.0
337,Arizona,New Mexico St.,H,83.0,53.0
338,Arizona,South Dakota St.,H,71.0,64.0
339,Arizona,Long Beach St.,H,104.0,67.0
340,Arizona,Pepperdine,N,93.0,91.0
341,Arizona,Penn,N,92.0,82.0
342,Arizona,Wake Forest,N,73.0,66.0
343,Arizona,Baylor,V,58.0,63.0
344,Arizona,Omaha,H,99.0,49.0
345,Arizona,Gonzaga,H,80.0,84.0
346,Arizona,St. John's (NY),N,67.0,70.0
347,Arizona,Arizona St.,H,75.0,47.0
348,Arizona,Oregon,V,73.0,74.0
349,Arizona,Oregon St.,V,65.0,82.0
350,Arizona,Utah,H,93.0,77.0
351,Arizona,Colorado,H,75.0,54.0
352,Arizona,Arizona St.,V,65.0,66.0
353,Arizona,Washington,V,75.0,72.0
354,Arizona,Washington St.,V,66.0,49.0
355,Arizona,Southern California,H,85.0,80.0
356,Arizona,UCLA,H,52.0,65.0
357,Arizona,California,V,68.0,52.0
358,Arizona,Stanford,V,69.0,60.0
359,Arizona,Oregon St.,H,89.0,63.0
360,Arizona,Oregon,H,72.0,73.0
361,Arizona,Southern California,V,48.0,57.0
362,Arizona,UCLA,V,,
363,Arizona,Washington St.,H,,
364,Arizona,Washington,H,,
365,Arizona St.,Colorado,N,71.0,81.0
366,Arizona St.,Central Conn. St.,H,90.0,49.0
367,Arizona St.,Rider,H,92.0,55.0
368,Arizona St.,St. John's (NY),N,80.0,67.0
369,Arizona St.,Virginia,N,45.0,48.0
370,Arizona St.,Princeton,V,67.0,65.0
371,Arizona St.,San Francisco,V,71.0,67.0
372,Arizona St.,Louisiana,H,77.0,65.0
373,Arizona St.,Prairie View,H,88.0,79.0
374,Arizona St.,Georgia,H,79.0,59.0
375,Arizona St.,Saint Mary's (CA),N,56.0,96.0
376,Arizona St.,Creighton,H,60.0,67.0
377,Arizona St.,Texas Southern,H,98.0,81.0
378,Arizona St.,Arizona,V,47.0,75.0
379,Arizona St.,Oregon St.,V,82.0,76.0
380,Arizona St.,Oregon,V,69.0,78.0
381,Arizona St.,Colorado,H,61.0,68.0
382,Arizona St.,Utah,H,83.0,64.0
383,Arizona St.,Arizona,H,66.0,65.0
384,Arizona St.,Washington St.,V,65.0,67.0
385,Arizona St.,Washington,V,87.0,83.0
386,Arizona St.,UCLA,H,84.0,66.0
387,Arizona St.,Southern California,H,66.0,64.0
388,Arizona St.,Stanford,V,74.0,69.0
389,Arizona St.,California,V,80.0,75.0
390,Arizona St.,Oregon,H,77.0,72.0
391,Arizona St.,Oregon St.,H,74.0,73.0
392,Arizona St.,UCLA,V,72.0,75.0
393,Arizona St.,Southern California,V,,
394,Arizona St.,Washington,H,,
395,Arizona St.,Washington St.,H,,
396,Ark.-Pine Bluff,South Fla.,V,41.0,70.0
397,Ark.-Pine Bluff,Gonzaga,V,60.0,110.0
398,Ark.-Pine Bluff,Grand Canyon,V,54.0,67.0
399,Ark.-Pine Bluff,Kansas St.,V,51.0,62.0
400,Ark.-Pine Bluff,Pittsburgh,V,41.0,66.0
401,Ark.-Pine Bluff,Champion Chris.,H,75.0,67.0
402,Ark.-Pine Bluff,Tulsa,V,39.0,72.0
403,Ark.-Pine Bluff,UTEP,V,50.0,59.0
404,Ark.-Pine Bluff,Oregon St.,V,46.0,80.0
405,Ark.-Pine Bluff,New Mexico St.,V,40.0,65.0
406,Ark.-Pine Bluff,North Texas,V,53.0,86.0
