,1,2,3,4,5
0,A&M-Corpus Chris,Baylor,V,46.0,70.0
1,A&M-Corpus Chris,UTRGV,H,75.0,82.0
2,A&M-Corpus Chris,Georgia,V,65.0,68.0
3,A&M-Corpus Chris,UTSA,V,58.0,72.0
4,A&M-Corpus Chris,Texas St.,V,53.0,66.0
5,A&M-Corpus Chris,UTRGV,V,78.0,82.0
6,A&M-Corpus Chris,Ole Miss,V,63.0,85.0
7,A&M-Corpus Chris,Central Ark.,V,69.0,81.0
8,A&M-Corpus Chris,Lamar University,H,72.0,77.0
9,A&M-Corpus Chris,Northwestern St.,H,67.0,65.0
10,A&M-Corpus Chris,Sam Houston St.,H,50.0,82.0
11,A&M-Corpus Chris,New Orleans,V,55.0,61.0
12,A&M-Corpus Chris,Nicholls St.,V,61.0,91.0
13,A&M-Corpus Chris,Abilene Christian,H,80.0,66.0
14,A&M-Corpus Chris,Houston Baptist,H,79.0,69.0
15,A&M-Corpus Chris,Southeastern La.,V,67.0,54.0
16,A&M-Corpus Chris,Incarnate Word,V,56.0,51.0
17,A&M-Corpus Chris,Sam Houston St.,V,64.0,66.0
18,A&M-Corpus Chris,New Orleans,H,53.0,62.0
19,A&M-Corpus Chris,SFA,H,68.0,87.0
20,A&M-Corpus Chris,Lamar University,V,76.0,79.0
21,A&M-Corpus Chris,Abilene Christian,V,76.0,67.0
22,A&M-Corpus Chris,Incarnate Word,H,62.0,69.0
23,A&M-Corpus Chris,McNeese,H,82.0,70.0
24,A&M-Corpus Chris,Houston Baptist,V,92.0,87.0
25,A&M-Corpus Chris,New Orleans,N,76.0,83.0
26,Abilene Christian,Arkansas St.,V,69.0,83.0
27,Abilene Christian,Lipscomb,H,67.0,75.0
28,Abilene Christian,Campbell,V,85.0,80.0
29,Abilene Christian,USC Upstate,N,78.0,88.0
30,Abilene Christian,Bowling Green,N,88.0,83.0
31,Abilene Christian,Air Force,V,62.0,58.0
32,Abilene Christian,Texas St.,H,72.0,68.0
33,Abilene Christian,Lipscomb,V,65.0,67.0
34,Abilene Christian,Texas Tech,V,47.0,74.0
35,Abilene Christian,New Orleans,V,74.0,77.0
36,Abilene Christian,Sam Houston St.,H,75.0,72.0
37,Abilene Christian,McNeese,H,79.0,74.0
38,Abilene Christian,Southeastern La.,H,70.0,72.0
39,Abilene Christian,Houston Baptist,V,82.0,74.0
40,Abilene Christian,Northwestern St.,V,69.0,58.0
41,Abilene Christian,SFA,H,66.0,76.0
42,Abilene Christian,Central Ark.,V,80.0,63.0
43,Abilene Christian,A&M-Corpus Chris,V,66.0,80.0
44,Abilene Christian,Lamar University,H,74.0,69.0
45,Abilene Christian,Sam Houston St.,V,77.0,84.0
46,Abilene Christian,Nicholls St.,H,65.0,69.0
47,Abilene Christian,Incarnate Word,H,80.0,69.0
48,Abilene Christian,Southeastern La.,V,54.0,68.0
49,Abilene Christian,A&M-Corpus Chris,H,67.0,76.0
50,Abilene Christian,Central Ark.,H,72.0,74.0
51,Abilene Christian,SFA,V,56.0,76.0
52,Abilene Christian,Incarnate Word,V,69.0,59.0
53,Abilene Christian,Drake,V,73.0,80.0
54,Air Force,Texas St.,H,65.0,57.0
55,Air Force,Canisius,H,93.0,79.0
56,Air Force,Ark.-Pine Bluff,H,57.0,47.0
57,Air Force,Pacific,H,71.0,83.0
58,Air Force,Colorado,V,69.0,81.0
59,Air Force,Indiana St.,V,64.0,74.0
60,Air Force,Denver,V,61.0,59.0
61,Air Force,Abilene Christian,H,58.0,62.0
62,Air Force,UC Riverside,V,48.0,67.0
63,Air Force,Army West Point,N,54.0,79.0
64,Air Force,New Mexico,V,58.0,87.0
65,Air Force,Fresno St.,V,59.0,71.0
66,Air Force,Nevada,H,75.0,86.0
67,Air Force,UNLV,H,76.0,81.0
68,Air Force,San Jose St.,V,78.0,71.0
69,Air Force,Colorado St.,V,76.0,71.0
70,Air Force,Utah St.,V,49.0,71.0
71,Air Force,Boise St.,H,64.0,70.0
72,Air Force,San Diego St.,V,50.0,81.0
73,Air Force,Colorado St.,H,78.0,73.0
74,Air Force,New Mexico,H,100.0,92.0
75,Air Force,UNLV,V,73.0,81.0
76,Air Force,Boise St.,V,52.0,76.0
77,Air Force,San Diego St.,H,56.0,67.0
78,Air Force,Utah St.,H,75.0,65.0
79,Air Force,Fresno St.,H,48.0,54.0
80,Air Force,Wyoming,V,54.0,66.0
81,Air Force,San Jose St.,H,83.0,61.0
82,Air Force,UNLV,V,90.0,97.0
83,Akron,Cleveland St.,H,67.0,57.0
84,Akron,UT Martin,H,76.0,59.0
85,Akron,Dayton,V,60.0,73.0
86,Akron,Chattanooga,H,75.0,70.0
87,Akron,Marshall,V,64.0,86.0
88,Akron,Fort Wayne,H,83.0,79.0
89,Akron,Appalachian St.,H,94.0,89.0
90,Akron,Mississippi Val.,H,81.0,63.0
91,Akron,Southern California,N,53.0,84.0
92,Akron,Princeton,N,62.0,64.0
93,Akron,Davidson,N,78.0,91.0
94,Akron,Western Mich.,V,75.0,87.0
95,Akron,Toledo,V,65.0,67.0
96,Akron,Buffalo,H,65.0,87.0
97,Akron,Bowling Green,H,80.0,78.0
98,Akron,Eastern Mich.,V,49.0,63.0
99,Akron,Northern Ill.,H,82.0,67.0
100,Akron,Ohio,H,71.0,68.0
101,Akron,Ball St.,V,106.0,111.0
