,3,4,5,6,7
0,A&M-Corpus Christi,Howard,H,81.0,34.0
1,A&M-Corpus Christi,Our Lady of the Lake,H,113.0,83.0
2,A&M-Corpus Christi,UTRGV,H,69.0,76.0
3,A&M-Corpus Christi,UT Arlington,V,73.0,67.0
4,A&M-Corpus Christi,UC Davis,N,54.0,57.0
5,A&M-Corpus Christi,St. Mary's (TX),H,61.0,58.0
6,A&M-Corpus Christi,UTRGV,V,59.0,68.0
7,A&M-Corpus Christi,Tennessee,V,51.0,79.0
8,A&M-Corpus Christi,Texas St.,H,55.0,61.0
9,A&M-Corpus Christi,Huston-Tillotson,H,81.0,63.0
10,A&M-Corpus Christi,UTSA,H,50.0,64.0
11,A&M-Corpus Christi,Louisiana Tech,V,68.0,73.0
12,A&M-Corpus Christi,Oklahoma St.,V,59.0,69.0
13,A&M-Corpus Christi,Central Ark.,H,87.0,75.0
14,A&M-Corpus Christi,Lamar University,V,55.0,61.0
15,A&M-Corpus Christi,Northwestern St.,V,62.0,61.0
16,A&M-Corpus Christi,Sam Houston St.,V,50.0,72.0
17,A&M-Corpus Christi,New Orleans,H,76.0,61.0
18,A&M-Corpus Christi,Nicholls St.,H,75.0,73.0
19,A&M-Corpus Christi,Abilene Christian,V,71.0,78.0
20,A&M-Corpus Christi,Houston Baptist,V,72.0,73.0
21,A&M-Corpus Christi,Southeastern La.,H,58.0,64.0
22,A&M-Corpus Christi,Incarnate Word,H,70.0,61.0
23,A&M-Corpus Christi,Sam Houston St.,H,69.0,70.0
24,A&M-Corpus Christi,New Orleans,V,58.0,68.0
25,A&M-Corpus Christi,SFA,V,65.0,55.0
26,A&M-Corpus Christi,Lamar University,H,58.0,63.0
27,A&M-Corpus Christi,Abilene Christian,H,64.0,73.0
28,A&M-Corpus Christi,Incarnate Word,V,74.0,72.0
29,A&M-Corpus Christi,McNeese,V,59.0,50.0
30,A&M-Corpus Christi,Houston Baptist,H,76.0,69.0
31,A&M-Corpus Christi,Central Ark.,N,53.0,73.0
32,Abilene Christian,Arlington Baptist,H,107.0,54.0
33,Abilene Christian,Arkansas St.,H,94.0,73.0
34,Abilene Christian,Denver,V,67.0,61.0
35,Abilene Christian,Elon,N,72.0,56.0
36,Abilene Christian,Pacific,V,73.0,71.0
37,Abilene Christian,UC Riverside,N,60.0,48.0
38,Abilene Christian,Howard,H,90.0,53.0
39,Abilene Christian,Pepperdine,V,62.0,77.0
40,Abilene Christian,Campbell,H,83.0,68.0
41,Abilene Christian,Schreiner,H,93.0,53.0
42,Abilene Christian,Texas Tech,V,48.0,82.0
43,Abilene Christian,Southeast Mo. St.,V,70.0,68.0
44,Abilene Christian,McMurry,H,88.0,40.0
45,Abilene Christian,New Orleans,H,68.0,58.0
46,Abilene Christian,Sam Houston St.,V,68.0,71.0
47,Abilene Christian,McNeese,V,73.0,72.0
48,Abilene Christian,Southeastern La.,V,75.0,72.0
49,Abilene Christian,Houston Baptist,H,75.0,68.0
50,Abilene Christian,Northwestern St.,H,78.0,69.0
51,Abilene Christian,SFA,V,60.0,61.0
52,Abilene Christian,Central Ark.,H,79.0,56.0
53,Abilene Christian,A&M-Corpus Christi,H,78.0,71.0
54,Abilene Christian,Lamar University,V,75.0,64.0
55,Abilene Christian,Sam Houston St.,H,85.0,90.0
56,Abilene Christian,Nicholls St.,V,64.0,48.0
57,Abilene Christian,Incarnate Word,V,68.0,48.0
58,Abilene Christian,Southeastern La.,H,66.0,75.0
59,Abilene Christian,A&M-Corpus Christi,V,73.0,64.0
60,Abilene Christian,Central Ark.,V,67.0,55.0
61,Abilene Christian,SFA,H,72.0,58.0
62,Abilene Christian,Incarnate Word,H,81.0,52.0
63,Abilene Christian,Southeastern La.,N,69.0,66.0
64,Abilene Christian,New Orleans,N,77.0,60.0
65,Abilene Christian,Kentucky,N,44.0,79.0
66,Air Force,Denver,H,90.0,65.0
67,Air Force,Texas St.,V,57.0,67.0
68,Air Force,UMBC,N,72.0,77.0
69,Air Force,South Dakota,N,65.0,62.0
70,Air Force,High Point,N,62.0,69.0
71,Air Force,Colorado,H,56.0,93.0
72,Air Force,Missouri St.,H,88.0,69.0
73,Air Force,Pacific,V,69.0,82.0
74,Air Force,Denver,H,73.0,65.0
75,Air Force,Army West Point,H,61.0,66.0
76,Air Force,Michigan,V,50.0,71.0
77,Air Force,UC Riverside,H,72.0,60.0
78,Air Force,New Mexico,H,58.0,65.0
79,Air Force,Utah St.,V,62.0,79.0
80,Air Force,Colorado St.,V,64.0,87.0
81,Air Force,San Diego St.,H,62.0,48.0
82,Air Force,UNLV,H,106.0,88.0
83,Air Force,Nevada,V,52.0,67.0
84,Air Force,Boise St.,H,74.0,60.0
85,Air Force,San Jose St.,V,73.0,71.0
