,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
141,Kansas State,28,9,19,.321,7.67,8.92,2,13,8,6,1,9,1801,1836,,67.4,95.0,.353,.389,.505,49.1,55.9,12.7,8.3,.475,18.4,29.5,.229
142,Kansas,28,25,3,.893,25.92,11.74,14,1,13,1,9,1,2109,1696,,68.4,109.6,.339,.334,.568,54.4,51.6,11.2,14.1,.546,16.1,31.8,.227
143,Kennesaw State,28,1,27,.036,-22.32,-2.39,0,15,1,9,0,16,1547,2105,,68.1,81.1,.331,.307,.439,45.9,41.3,7.4,5.3,.393,18.9,25.8,.231
144,Kent State,28,18,10,.643,3.48,-1.06,8,7,12,3,5,5,2128,1941,,69.8,107.0,.282,.411,.552,50.2,50.2,10.0,11.4,.524,15.6,30.3,.204
145,Kentucky,28,23,5,.821,15.91,6.70,13,2,15,1,7,2,2090,1832,,68.8,107.6,.410,.269,.561,53.2,53.5,7.5,14.3,.508,16.1,30.6,.325
146,La Salle,27,13,14,.481,-0.21,1.87,4,11,7,6,3,8,1825,1881,,69.9,95.4,.324,.423,.513,49.1,54.3,11.1,8.9,.485,18.7,28.2,.213
147,Lafayette,28,17,11,.607,-5.37,-6.08,9,8,8,5,9,6,1975,1916,,68.0,103.7,.242,.452,.557,50.1,60.0,6.8,10.9,.532,16.4,23.1,.177
148,Lamar,29,16,13,.552,-7.49,-6.69,10,8,10,4,6,9,2090,2003,,71.8,99.5,.350,.304,.526,49.2,52.5,12.6,12.7,.490,18.2,30.7,.245
149,Lehigh,29,9,20,.310,-11.14,-3.59,6,11,7,6,2,14,1962,2110,,69.3,96.8,.266,.292,.524,50.8,47.6,7.6,6.9,.494,17.9,26.6,.193
150,Liberty,30,27,3,.900,6.48,-6.99,13,2,14,0,7,3,2067,1585,,61.4,112.3,.312,.403,.580,53.7,52.9,9.1,9.1,.555,13.9,26.1,.221
151,Lipscomb,28,13,15,.464,-7.95,-5.02,8,7,7,5,6,10,1980,1983,,69.5,101.3,.291,.360,.532,49.8,50.7,7.8,6.9,.504,16.4,27.3,.202
152,Cal State Long Beach,29,10,19,.345,-8.86,2.03,5,8,7,6,2,11,1932,2179,,71.8,92.4,.330,.293,.514,47.5,44.5,8.0,10.8,.481,19.9,25.7,.226
153,Long Island University,30,14,16,.467,-7.58,-6.10,9,8,7,6,6,9,2298,2300,,73.9,101.9,.331,.464,.554,46.9,54.2,8.9,8.6,.523,16.9,22.2,.236
154,Longwood,31,14,17,.452,-11.53,-9.15,9,9,8,6,6,11,2095,2117,,68.7,96.9,.335,.479,.524,48.9,48.8,9.8,6.9,.489,17.7,23.8,.237
155,Louisiana,29,12,17,.414,-5.00,-0.82,7,11,8,6,3,10,2085,2174,,72.2,99.2,.347,.407,.520,49.6,45.2,8.3,8.6,.478,16.9,29.8,.256
156,Louisiana-Monroe,28,9,19,.321,-6.78,-0.36,5,14,7,7,2,12,1774,1895,,66.2,95.2,.330,.348,.513,48.9,51.5,6.7,9.5,.481,18.0,26.6,.224
157,Louisiana State,28,19,9,.679,13.86,7.11,10,5,13,2,5,5,2247,2058,,70.8,112.3,.361,.334,.566,54.5,44.9,8.9,11.0,.524,15.5,35.9,.279
158,Louisiana Tech,28,20,8,.714,6.71,-1.48,11,5,13,1,7,7,2093,1794,,68.4,108.3,.287,.399,.554,52.1,48.9,11.0,7.2,.535,15.4,30.4,.190
159,Louisville,29,23,6,.793,17.97,7.32,14,4,16,1,6,4,2174,1865,,67.4,110.2,.329,.378,.560,54.4,53.2,7.5,8.1,.527,15.3,32.3,.241
160,Loyola (IL),30,20,10,.667,5.89,0.37,12,5,14,2,4,6,2058,1867,,65.8,103.4,.386,.311,.577,49.6,57.4,11.9,5.6,.557,17.8,20.7,.253
161,Loyola Marymount,29,10,19,.345,-0.89,4.00,4,11,7,8,2,9,1862,1956,,64.8,98.7,.336,.347,.543,50.6,49.6,9.1,7.1,.519,19.0,27.4,.223
162,Loyola (MD),30,15,15,.500,-9.12,-6.81,7,10,9,3,5,12,2202,2242,,71.1,102.3,.435,.370,.550,48.9,60.2,9.4,8.0,.524,16.8,25.6,.278
163,Maine,28,7,21,.250,-13.55,-3.70,3,11,4,7,2,14,1709,1935,,66.3,91.2,.276,.430,.496,50.0,62.8,10.2,11.3,.463,19.7,28.0,.196
164,Manhattan,26,12,14,.462,-7.38,-6.49,8,9,7,5,5,9,1645,1668,,67.0,93.5,.342,.404,.491,49.2,60.0,10.5,11.8,.465,17.8,29.1,.212
165,Marist,26,7,19,.269,-11.47,-7.05,6,11,4,8,3,11,1591,1706,,65.9,90.7,.298,.398,.487,49.1,49.6,10.0,10.1,.459,18.3,26.1,.193
166,Marquette,27,18,9,.667,16.21,8.95,8,7,13,2,3,6,2100,1904,,71.4,107.0,.401,.452,.559,52.8,54.1,7.1,11.0,.517,16.3,28.7,.297
167,Marshall,29,14,15,.483,1.26,0.23,8,8,9,6,4,9,2167,2102,,75.1,99.0,.277,.390,.520,48.3,48.8,11.3,14.3,.499,17.2,28.6,.179
168,Maryland-Baltimore County,29,14,15,.483,-7.95,-4.47,7,7,9,5,5,8,1985,1918,,68.5,99.5,.326,.392,.527,50.3,51.8,7.8,7.8,.506,16.7,26.5,.206
169,Maryland-Eastern Shore,28,5,23,.179,-20.99,-4.22,4,9,4,4,1,19,1594,2001,,69.1,81.6,.256,.393,.441,45.3,51.9,11.1,9.5,.414,18.8,25.2,.161
170,Maryland,28,23,5,.821,18.25,9.79,13,4,15,0,5,5,2010,1773,,67.9,105.6,.379,.432,.531,53.3,55.7,7.0,12.1,.484,14.6,32.0,.284
171,Massachusetts-Lowell,29,12,17,.414,-8.00,-5.64,6,8,8,8,4,9,2173,2196,,71.4,103.7,.366,.356,.553,49.2,56.6,10.0,6.7,.518,16.9,28.0,.261
172,Massachusetts,28,13,15,.464,0.96,3.43,7,8,11,4,2,8,1915,1984,,69.4,97.7,.294,.393,.520,47.7,53.2,10.0,8.1,.491,16.9,26.3,.203
173,McNeese State,28,13,15,.464,-8.48,-6.81,8,9,10,5,3,10,2255,2084,,72.0,110.8,.349,.370,.606,52.7,57.6,9.4,11.0,.580,19.5,31.8,.253
174,Memphis,28,19,9,.679,11.94,4.37,8,7,14,3,4,5,2033,1821,,73.5,98.4,.399,.345,.535,52.2,55.5,10.9,15.6,.502,19.6,30.3,.269
175,Mercer,30,16,14,.533,-3.20,-2.81,10,7,8,6,8,6,2179,2131,,70.9,102.5,.263,.365,.545,53.1,54.2,9.3,7.6,.517,17.9,31.2,.191
176,Merrimack,31,20,11,.645,-7.04,-6.64,14,4,10,2,9,8,1948,1866,,64.4,96.4,.254,.433,.517,43.8,56.3,15.2,8.6,.493,16.3,23.2,.173
177,Miami (FL),27,14,13,.519,6.26,8.26,6,11,8,4,4,7,1973,2027,,69.6,102.7,.298,.359,.534,47.2,38.9,8.0,8.8,.497,14.9,25.4,.226
178,Miami (OH),28,11,17,.393,-5.58,-0.81,4,11,9,5,1,10,1977,1999,,69.5,101.6,.255,.414,.521,48.7,48.1,7.6,6.9,.495,14.7,26.2,.178
179,Michigan State,28,19,9,.679,21.35,10.10,11,6,11,3,5,4,2116,1801,,69.8,108.3,.315,.371,.556,55.1,65.7,7.5,13.4,.522,15.8,32.6,.236
180,Michigan,28,18,10,.643,18.54,10.93,9,8,10,5,4,5,2111,1898,,69.2,107.5,.270,.389,.554,50.9,52.8,7.6,10.4,.529,13.6,25.8,.193
181,Middle Tennessee,28,7,21,.250,-8.37,1.51,3,12,4,9,3,9,2006,2133,,71.5,99.8,.312,.408,.519,49.1,50.8,9.5,8.2,.492,16.6,28.6,.208
182,Milwaukee,29,12,17,.414,-7.01,-3.82,7,10,7,7,4,8,2090,2116,,71.1,99.2,.292,.395,.508,49.1,49.3,8.0,8.7,.475,16.0,29.5,.207
183,Minnesota,27,13,14,.481,15.84,11.84,7,10,10,5,2,8,1888,1780,,67.1,103.3,.281,.413,.515,51.7,60.1,7.2,11.7,.486,14.6,31.1,.197
184,Mississippi State,28,18,10,.643,11.97,6.76,9,6,13,2,3,6,2068,1922,,67.7,109.1,.388,.284,.560,55.4,52.3,8.4,14.0,.517,17.8,37.4,.293
185,Mississippi Valley State,27,2,25,.074,-29.34,-6.82,2,13,1,8,1,17,1843,2451,,78.8,86.2,.227,.402,.453,42.4,41.7,8.9,6.7,.428,16.0,23.6,.149
186,Mississippi,28,13,15,.464,7.48,6.63,4,11,10,5,1,9,1940,1916,,69.0,99.5,.372,.340,.529,49.4,53.7,10.4,7.6,.487,17.1,26.6,.272
187,Missouri-Kansas City,28,14,14,.500,-6.16,-2.24,6,7,8,4,4,8,1953,1867,,67.0,101.8,.286,.350,.546,47.8,51.2,11.5,9.4,.522,17.2,25.3,.196
188,Missouri State,30,14,16,.467,2.24,0.67,8,9,10,4,3,10,2086,2039,,68.2,101.5,.283,.339,.525,54.0,46.4,9.0,7.8,.490,16.7,31.5,.211
189,Missouri,28,14,14,.500,8.05,6.12,6,9,11,3,2,9,1882,1828,,67.3,99.1,.357,.407,.525,51.0,50.2,9.9,9.9,.475,18.2,30.5,.276
190,Monmouth,27,16,11,.593,-5.08,-5.20,10,6,9,1,6,9,1921,1918,,72.1,98.2,.347,.368,.512,47.2,52.7,10.9,8.0,.471,15.7,25.4,.252
191,Montana State,28,14,14,.500,-5.50,-2.46,8,9,8,4,4,10,1869,1879,,68.5,97.5,.363,.329,.539,51.2,48.2,8.3,6.5,.497,18.8,23.5,.270
192,Montana,28,17,11,.607,0.77,-1.73,13,4,12,1,5,10,1972,1895,,69.4,100.6,.257,.276,.548,48.3,45.8,9.0,9.6,.522,15.9,20.2,.187
193,Morehead State,30,13,17,.433,-10.76,-6.30,7,10,11,4,2,13,2065,2086,,69.1,98.9,.295,.332,.507,50.2,52.4,8.5,12.0,.484,15.3,28.7,.186
194,Morgan State,29,15,14,.517,-12.26,-8.83,9,5,8,4,7,7,2055,2057,,70.9,98.7,.396,.313,.514,52.6,46.5,8.2,12.9,.473,18.6,34.4,.276
195,Mount St. Mary's,30,11,19,.367,-9.40,-6.37,7,10,8,5,3,14,1917,1988,,64.6,97.8,.333,.380,.495,50.8,49.9,7.5,9.2,.459,15.6,30.3,.230
196,Murray State,29,21,8,.724,1.16,-6.88,14,3,14,0,6,6,2190,1872,,69.8,107.2,.403,.322,.568,54.9,53.6,7.9,10.7,.535,17.3,29.5,.284
197,Navy,28,14,14,.500,-7.19,-5.75,8,9,10,5,4,9,1785,1793,,62.5,100.1,.330,.392,.503,53.4,50.5,8.2,5.5,.467,16.1,33.9,.230
198,Omaha,30,16,14,.533,-4.06,-1.26,9,6,12,2,4,11,2233,2295,,70.6,103.7,.268,.296,.534,49.9,45.0,7.5,8.9,.507,14.9,27.4,.190
199,Nebraska,28,7,21,.250,3.75,10.11,2,15,5,10,0,10,1962,2140,,72.0,95.6,.288,.401,.495,43.6,55.1,9.1,6.1,.476,13.7,21.7,.174
200,Nevada-Las Vegas,30,16,14,.533,6.68,5.08,11,6,12,6,4,7,2154,2106,,67.0,104.2,.337,.402,.528,54.7,49.5,9.0,9.1,.495,16.4,34.0,.235
201,Nevada,29,19,10,.655,9.36,3.92,12,5,12,2,4,7,2244,2086,,71.7,107.4,.277,.429,.561,52.1,54.5,7.1,10.7,.531,14.8,25.6,.207
202,New Hampshire,27,14,13,.519,-7.49,-5.85,7,7,9,2,5,11,1861,1784,,70.1,97.0,.257,.415,.498,54.0,52.9,6.9,6.2,.472,16.0,29.9,.173
203,New Mexico State,29,23,6,.793,2.88,-4.27,14,0,12,1,8,3,2069,1756,,65.0,109.4,.315,.464,.565,56.6,57.4,9.4,5.5,.536,17.4,34.9,.225
204,New Mexico,30,17,13,.567,2.67,2.09,6,11,14,3,2,9,2316,2278,,73.2,105.5,.386,.361,.565,49.7,54.8,10.9,8.2,.530,17.5,27.6,.278
205,New Orleans,27,8,19,.296,-13.13,-4.13,4,13,5,8,3,11,2042,2067,,72.5,104.3,.383,.267,.553,48.1,55.7,10.8,5.5,.510,16.8,28.6,.288
206,Niagara,28,10,18,.357,-11.07,-3.97,8,9,8,3,2,15,1828,2027,,66.6,97.5,.243,.369,.525,40.8,50.1,10.6,6.6,.494,14.5,17.8,.183
207,Nicholls State,29,19,10,.655,-5.13,-5.53,13,5,11,1,7,8,2216,2020,,73.3,103.4,.263,.374,.533,48.2,45.9,13.6,10.3,.502,16.1,30.2,.197
208,NJIT,28,8,20,.286,-10.84,-4.58,5,10,5,7,3,13,1779,1920,,67.1,94.7,.308,.333,.487,47.9,45.8,8.5,8.0,.454,14.6,25.3,.208
209,Norfolk State,28,13,15,.464,-8.07,-8.15,9,4,10,2,2,12,1950,1818,,69.9,99.2,.337,.412,.514,51.4,52.9,11.2,6.9,.479,17.4,31.8,.236
210,North Alabama,28,12,16,.429,-8.70,-5.47,7,8,9,4,3,12,1912,1937,,70.4,97.0,.382,.368,.521,50.8,47.0,9.1,6.4,.485,18.5,28.2,.261
211,North Carolina-Asheville,28,14,14,.500,-9.99,-8.34,8,9,9,5,5,9,2123,2100,,71.6,105.4,.329,.390,.552,45.9,41.3,11.6,6.6,.530,14.7,24.8,.217
212,North Carolina A&T,29,15,14,.517,-9.33,-6.83,11,3,11,1,3,11,2069,2077,,75.5,93.7,.413,.322,.497,49.2,55.8,11.0,10.1,.470,18.0,29.0,.249
213,North Carolina Central,27,14,13,.519,-10.43,-7.93,10,3,10,0,4,13,1830,1740,,69.3,97.4,.314,.346,.529,49.4,54.4,12.6,8.8,.506,19.3,29.8,.205
214,North Carolina-Greensboro,30,23,7,.767,6.85,-1.51,13,4,14,4,9,3,2232,1868,,69.1,106.4,.264,.425,.520,52.3,45.9,13.5,13.8,.502,14.0,34.0,.168
215,North Carolina State,28,17,11,.607,11.48,6.59,8,9,12,4,5,6,2085,1948,,70.7,104.9,.283,.358,.534,49.2,48.3,10.5,11.8,.506,14.7,28.7,.201
216,North Carolina-Wilmington,30,10,20,.333,-8.62,-0.62,5,12,8,7,1,12,2066,2146,,69.7,98.1,.331,.342,.526,48.2,49.1,8.8,8.4,.492,16.7,24.2,.233
217,North Carolina,28,11,17,.393,8.81,9.67,4,13,6,8,2,8,1991,2015,,70.5,99.1,.336,.293,.492,55.2,55.0,8.4,10.3,.458,15.6,35.2,.223
218,North Dakota State,29,21,8,.724,0.84,-3.83,12,3,12,1,8,6,2145,1925,,67.8,108.6,.327,.455,.566,52.9,47.1,7.0,6.2,.524,13.7,23.2,.259
219,North Dakota,29,13,16,.448,-5.92,-1.31,7,8,8,3,4,12,2203,2174,,71.0,106.2,.346,.407,.570,51.9,49.2,6.5,5.3,.530,17.0,26.6,.267
220,North Florida,31,20,11,.645,-0.07,-2.89,13,3,12,1,7,9,2421,2255,,69.6,112.1,.268,.523,.578,49.3,58.1,7.0,8.2,.549,15.2,28.9,.205
221,North Texas,29,19,10,.655,8.12,1.79,13,3,12,3,7,5,2082,1834,,65.1,110.2,.307,.411,.596,52.2,50.0,9.7,8.4,.568,18.3,29.9,.230
222,Northeastern,29,15,14,.517,1.66,-3.51,9,8,7,5,7,7,2074,1924,,66.4,107.2,.263,.395,.578,51.2,50.0,11.8,4.7,.545,16.4,24.4,.209
223,Northern Arizona,27,16,11,.593,-3.60,-1.96,10,8,9,4,6,7,1943,1874,,67.8,105.7,.308,.351,.547,50.6,52.0,9.9,6.3,.518,14.9,27.2,.217
224,Northern Colorado,28,20,8,.714,5.88,-2.97,13,4,11,2,7,5,2093,1752,,66.0,112.3,.254,.467,.575,51.4,49.7,7.9,5.6,.558,13.4,25.5,.172
225,Northern Illinois,28,17,11,.607,-1.24,-2.28,10,5,10,3,7,8,1877,1801,,66.4,100.5,.280,.365,.504,53.3,42.2,8.2,8.1,.477,15.3,31.7,.189
226,Northern Iowa,29,24,5,.828,10.34,1.57,13,4,16,0,7,4,2204,1886,,66.0,113.7,.271,.422,.593,55.5,45.0,6.9,6.3,.566,16.2,29.8,.208
227,Northern Kentucky,29,21,8,.724,-0.24,-5.06,13,4,11,3,10,5,2104,1894,,68.6,104.9,.327,.457,.534,50.1,54.7,11.7,5.5,.505,15.8,30.9,.224
228,Northwestern State,26,12,14,.462,-11.79,-6.14,9,8,8,5,4,9,1899,1955,,74.4,97.7,.307,.365,.536,50.3,49.4,7.4,11.3,.503,20.2,29.9,.221
229,Northwestern,27,6,21,.222,4.88,10.21,1,16,4,11,1,9,1746,1890,,66.2,97.2,.255,.343,.502,46.7,57.0,5.8,8.4,.470,13.7,22.6,.186
230,Notre Dame,28,18,10,.643,10.91,5.12,9,8,14,3,4,6,2088,1926,,68.9,107.2,.249,.453,.532,49.4,62.7,8.4,9.5,.504,12.2,27.2,.183
231,Oakland,30,12,18,.400,-6.06,-2.68,7,10,7,5,3,11,2028,2098,,67.1,99.0,.374,.376,.521,50.3,57.3,8.7,9.1,.485,17.5,29.9,.256
232,Ohio State,28,19,9,.679,19.22,9.50,9,8,13,2,4,6,2017,1745,,66.8,107.8,.368,.425,.564,54.1,56.2,7.4,10.6,.526,16.9,31.2,.272
233,Ohio,28,14,14,.500,0.13,0.33,6,9,10,5,3,7,1991,1919,,69.1,102.9,.281,.424,.542,51.0,56.4,9.5,7.1,.518,16.4,27.4,.191
234,Oklahoma State,28,14,14,.500,11.01,10.76,4,11,8,6,4,7,1868,1861,,68.5,97.3,.342,.341,.507,50.4,49.5,10.0,12.7,.464,16.5,29.4,.251
235,Oklahoma,28,17,11,.607,13.22,10.51,7,8,12,2,2,8,1975,1899,,69.9,101.0,.302,.389,.525,49.1,47.6,8.7,10.9,.485,14.2,23.2,.231
236,Old Dominion,28,11,17,.393,0.05,0.47,7,8,8,4,3,10,1810,1822,,67.7,95.1,.280,.330,.479,53.3,42.8,10.4,10.2,.447,15.2,30.6,.193
237,Oral Roberts,28,15,13,.536,1.67,-1.41,8,7,12,1,3,12,2265,2072,,71.6,112.0,.299,.379,.547,52.4,45.2,8.8,7.0,.512,12.4,32.5,.225
238,Oregon State,28,15,13,.536,9.13,6.02,5,11,10,4,3,8,1994,1907,,66.8,106.6,.388,.342,.555,49.6,57.8,9.0,13.8,.513,15.4,27.1,.290
239,Oregon,29,22,7,.759,17.49,9.35,11,5,15,0,5,5,2182,1946,,66.3,110.2,.286,.374,.558,51.2,52.4,11.5,9.1,.535,15.0,32.5,.198
240,Pacific,31,22,9,.710,4.29,0.05,10,5,15,3,6,5,2175,1992,,65.9,103.5,.349,.286,.533,56.5,46.2,8.5,11.9,.506,15.9,33.3,.232
241,Penn State,28,21,7,.750,17.41,8.80,11,6,14,2,5,4,2119,1878,,71.7,105.6,.320,.388,.534,51.1,52.8,10.9,12.4,.505,14.1,29.1,.221
242,Pennsylvania,23,13,10,.565,0.36,0.32,5,5,6,3,5,6,1682,1633,,71.8,101.3,.256,.443,.542,48.4,54.7,7.9,7.4,.521,15.7,22.2,.174
243,Pepperdine,29,15,14,.517,2.59,3.01,8,7,9,4,6,7,2211,2223,,71.8,104.8,.335,.376,.547,48.6,56.5,8.8,9.8,.501,15.4,27.0,.266
244,Pittsburgh,29,15,14,.517,7.07,6.76,6,12,11,7,2,7,1883,1874,,65.6,98.6,.354,.325,.494,48.7,55.6,11.7,10.4,.449,15.4,32.4,.255
245,Portland State,29,15,14,.517,-1.97,-2.12,9,8,9,3,5,11,2273,2191,,72.6,108.0,.305,.293,.529,50.9,46.0,12.1,10.2,.496,14.8,36.9,.219
246,Portland,30,9,21,.300,-6.59,1.84,1,14,7,9,2,8,1996,2160,,70.5,93.6,.332,.352,.519,45.8,56.0,8.1,10.2,.489,17.9,20.8,.223
247,Prairie View,27,16,11,.593,-5.17,-6.81,12,2,9,0,6,10,1931,1837,,72.6,98.1,.398,.267,.524,49.4,55.1,11.7,7.6,.482,17.6,28.3,.283
248,Presbyterian,30,9,21,.300,-14.89,-6.39,6,11,6,6,3,13,2015,2200,,67.2,99.1,.346,.359,.541,50.1,50.3,8.7,5.9,.508,19.1,26.9,.244
249,Princeton,23,12,11,.522,-2.01,-1.10,7,3,6,5,4,5,1634,1608,,67.2,105.1,.292,.418,.561,50.7,50.4,9.6,5.2,.534,16.8,26.6,.210
250,Providence,28,16,12,.571,11.97,7.87,9,6,11,3,4,6,1983,1868,,69.6,101.3,.353,.368,.504,51.6,60.1,12.0,10.1,.468,16.1,34.0,.242
251,Purdue,29,15,14,.517,16.12,10.40,8,10,11,4,3,8,1969,1803,,64.5,103.0,.253,.357,.507,53.0,52.9,9.9,11.1,.482,14.6,34.6,.170
252,Quinnipiac,27,12,15,.444,-8.35,-6.27,7,10,8,5,3,9,1888,1944,,69.1,101.2,.293,.509,.546,51.2,57.2,6.4,9.3,.511,17.7,27.2,.221
253,Radford,29,20,9,.690,-1.84,-5.29,15,2,10,2,9,6,2100,1911,,65.0,110.9,.328,.393,.555,52.7,52.0,8.0,7.3,.538,14.0,31.3,.207
254,Rhode Island,27,20,7,.741,10.61,4.32,12,3,12,1,7,5,2017,1847,,72.5,102.1,.364,.289,.512,51.1,47.8,11.9,10.6,.475,14.3,30.8,.251
255,Rice,28,13,15,.464,-3.28,-0.13,5,10,7,6,4,8,2066,2090,,71.3,103.5,.334,.500,.550,49.9,55.6,8.3,6.1,.519,16.5,25.6,.236
256,Richmond,28,21,7,.750,10.21,2.60,11,4,12,2,8,3,2087,1874,,69.1,106.9,.273,.380,.564,48.4,56.1,11.8,7.7,.533,14.1,21.9,.210
257,Rider,27,15,12,.556,-3.97,-5.23,9,8,9,1,4,11,1937,1903,,71.8,99.9,.384,.337,.520,53.5,52.0,9.2,7.7,.490,16.9,31.0,.250
258,Robert Morris,30,16,14,.533,-5.93,-6.34,12,5,8,3,7,11,2073,2021,,67.6,102.3,.251,.394,.529,49.6,63.6,9.2,5.5,.509,16.3,29.4,.166
259,Rutgers,29,18,11,.621,15.32,9.35,9,9,17,1,1,8,2019,1807,,67.8,102.3,.292,.301,.514,54.1,47.9,9.8,13.6,.490,15.3,32.5,.190
260,Sacramento State,27,15,12,.556,-1.67,-2.59,8,10,10,3,4,9,1690,1582,,64.3,97.4,.313,.281,.496,52.9,55.2,10.8,11.3,.457,16.4,32.8,.226
261,Sacred Heart,30,18,12,.600,-4.65,-7.61,11,6,7,4,10,7,2211,2081,,70.4,104.7,.343,.390,.536,53.8,52.1,7.3,9.7,.497,16.9,34.9,.254
262,Saint Francis (PA),28,20,8,.714,-2.20,-6.65,13,4,11,2,8,6,2179,2010,,70.8,109.3,.339,.294,.556,52.7,42.1,10.0,7.2,.518,15.2,32.8,.253
263,Saint Joseph's,28,5,23,.179,-5.56,5.69,1,14,3,9,2,11,1915,2230,,71.5,95.2,.287,.491,.493,48.1,52.7,6.6,7.0,.460,16.4,27.0,.202
264,Saint Louis,28,20,8,.714,8.28,2.91,9,6,14,3,4,4,2010,1852,,68.7,103.1,.403,.274,.515,54.3,54.5,10.8,12.7,.496,15.3,33.9,.235
265,Saint Mary's (CA),30,24,6,.800,12.49,3.80,11,4,14,3,6,2,2277,1974,,65.0,114.0,.306,.363,.587,52.1,45.2,9.8,5.5,.557,13.1,25.8,.230
266,Saint Peter's,27,15,12,.556,-3.67,-5.93,12,6,10,3,5,9,1797,1736,,68.7,96.5,.381,.332,.511,53.8,47.3,10.8,13.7,.467,20.1,35.2,.272
267,Sam Houston State,29,18,11,.621,-4.47,-6.91,11,7,12,3,6,8,2300,2103,,74.7,104.0,.301,.357,.551,49.7,56.9,12.2,9.0,.516,16.3,28.8,.227
268,Samford,31,9,22,.290,-12.94,-0.51,3,14,6,8,3,14,2286,2537,,74.4,98.3,.337,.327,.531,48.2,44.7,9.1,9.2,.492,18.7,28.5,.248
269,San Diego State,28,27,1,.964,18.90,3.42,16,1,14,1,10,0,2102,1640,,66.4,113.0,.291,.412,.578,52.9,56.1,10.4,9.1,.547,14.4,29.3,.220
270,San Diego,30,9,21,.300,-2.99,4.70,2,13,6,8,3,10,1976,2173,,71.2,91.4,.296,.346,.496,49.1,51.3,8.0,8.4,.470,18.1,25.8,.193
271,San Francisco,30,19,11,.633,7.56,3.73,8,7,12,5,6,6,2246,2084,,69.8,106.0,.292,.443,.542,52.3,45.2,10.2,7.9,.511,15.5,29.4,.211
272,San Jose State,29,7,22,.241,-7.19,5.13,3,14,6,9,1,12,2032,2352,,74.1,94.2,.340,.464,.500,46.3,55.6,8.4,8.1,.458,16.6,24.7,.244
273,Santa Clara,30,18,12,.600,2.29,1.11,5,10,15,5,3,7,2276,2151,,73.0,103.5,.339,.369,.566,48.8,58.4,9.3,9.1,.531,16.9,22.1,.251
274,Seattle,28,14,14,.500,-4.07,-4.07,7,6,9,4,3,9,2090,2022,,71.6,102.4,.368,.376,.514,49.1,44.1,8.1,8.4,.462,12.6,27.5,.284
275,Seton Hall,27,20,7,.741,17.25,9.32,12,3,11,3,7,3,2016,1802,,71.7,104.2,.366,.403,.546,50.4,55.4,10.1,15.6,.509,16.7,29.3,.264
276,Siena,26,16,10,.615,-1.81,-5.05,12,5,13,0,3,10,1889,1805,,67.8,105.5,.376,.323,.545,53.0,49.8,8.0,8.0,.511,16.3,31.7,.263
277,South Alabama,29,18,11,.621,-0.54,-1.00,11,7,9,5,7,5,2073,1975,,67.4,105.5,.400,.300,.556,49.4,44.3,11.3,12.0,.516,15.8,26.8,.291
278,South Carolina State,26,11,15,.423,-15.32,-8.53,6,8,8,3,3,12,1827,1951,,69.3,99.9,.392,.298,.534,51.1,45.5,6.0,4.9,.485,17.8,29.5,.297
279,South Carolina Upstate,30,11,19,.367,-13.42,-5.64,6,11,8,6,3,13,2057,2216,,69.6,98.5,.332,.361,.512,48.0,50.4,8.5,7.7,.479,15.7,26.5,.228
280,South Carolina,28,17,11,.607,10.34,6.05,9,6,11,5,6,4,2032,1912,,72.3,100.0,.370,.309,.511,51.7,54.1,10.7,13.5,.486,15.8,32.1,.229
281,South Dakota State,31,22,9,.710,2.74,-4.12,13,3,16,0,6,9,2419,2179,,69.7,110.6,.324,.359,.580,53.2,50.3,7.2,8.6,.555,16.2,29.3,.229
282,South Dakota,30,19,11,.633,-1.54,-3.54,9,6,12,2,5,8,2399,2233,,71.5,111.8,.390,.332,.595,50.8,50.2,6.3,7.0,.558,13.6,20.7,.294
283,South Florida,28,12,16,.429,4.99,4.84,5,10,9,6,2,6,1751,1747,,65.4,94.7,.378,.389,.501,52.3,46.0,11.4,6.8,.469,19.4,32.4,.245
284,Southeast Missouri State,30,7,23,.233,-14.28,-5.00,3,14,6,7,0,15,1976,2220,,68.8,95.4,.357,.343,.508,47.9,48.3,7.6,6.0,.471,17.2,25.4,.247
285,Southeastern Louisiana,28,6,22,.214,-16.57,-5.05,3,14,4,8,2,13,1924,2193,,73.7,92.0,.314,.358,.496,46.0,49.9,10.7,4.8,.465,19.2,28.3,.210
286,Southern California,29,20,9,.690,11.31,7.14,9,7,12,2,5,6,2054,1933,,70.2,99.6,.355,.318,.523,52.1,55.2,9.5,13.5,.493,17.5,30.9,.237
287,SIU Edwardsville,30,8,22,.267,-13.87,-5.77,5,12,4,9,4,13,2021,2191,,70.3,95.8,.293,.312,.507,48.9,55.9,8.2,9.0,.477,17.3,27.7,.199
288,Southern Illinois,30,16,14,.533,0.42,-0.03,10,7,12,3,3,9,1884,1843,,64.0,97.8,.327,.413,.536,46.4,53.9,10.0,5.4,.501,17.2,20.7,.237
