,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
33,Bryant,30,14,16,.467,-6.43,-6.57,6,11,9,5,5,11,2130,2077,,70.7,100.0,.303,.432,.514,51.7,54.4,9.4,11.3,.485,17.2,31.3,.205
34,Bucknell,30,12,18,.400,-7.89,-3.96,8,9,8,4,3,12,2038,2156,,70.4,96.5,.288,.424,.518,48.1,50.7,9.9,9.8,.488,17.0,24.8,.201
35,Buffalo,28,18,10,.643,2.42,0.08,9,6,9,5,6,4,2201,2101,,74.8,104.2,.270,.381,.519,53.1,52.1,10.7,10.8,.495,15.7,35.8,.181
36,Butler,28,19,9,.679,14.79,9.15,7,8,12,3,4,6,1916,1758,,64.6,105.4,.301,.365,.553,53.3,51.3,7.8,7.8,.522,15.4,28.9,.220
37,Cal Poly,28,7,21,.250,-10.02,-0.06,4,10,7,6,0,13,1887,2099,,68.9,95.3,.352,.337,.514,46.9,43.7,9.0,6.9,.479,17.1,22.7,.242
38,Cal State Bakersfield,29,12,17,.414,-6.78,-3.36,6,8,9,6,3,11,2002,1971,,66.3,101.9,.321,.269,.515,54.8,46.0,9.4,10.3,.483,17.1,36.2,.221
39,Cal State Fullerton,28,10,18,.357,-6.85,-0.93,5,8,5,8,4,9,1907,1990,,69.1,96.4,.379,.339,.524,48.0,47.7,7.3,7.6,.490,16.9,22.0,.257
40,Cal State Northridge,29,12,17,.414,-7.53,-1.05,7,6,8,4,4,12,2178,2284,,71.3,105.3,.309,.347,.547,47.1,51.9,8.1,8.2,.515,14.3,25.0,.224
41,California Baptist,28,20,8,.714,-0.53,-7.23,9,4,14,5,6,3,2251,1921,,71.0,112.8,.347,.437,.572,54.8,53.8,6.1,9.2,.531,15.1,32.2,.271
42,UC-Davis,29,13,16,.448,-4.46,-2.39,7,6,7,3,5,11,2127,2077,,68.6,106.1,.327,.367,.575,48.3,49.3,8.3,5.2,.535,16.7,23.5,.257
43,UC-Irvine,30,20,10,.667,4.00,-2.00,12,2,10,1,8,8,2228,1957,,69.3,107.1,.289,.296,.558,56.7,52.9,9.4,9.9,.527,17.3,34.8,.215
44,UC-Riverside,30,15,15,.500,-3.91,-4.09,5,9,10,5,5,10,1944,1835,,64.6,99.8,.271,.427,.535,54.2,53.1,7.8,6.9,.510,17.8,27.8,.187
45,UC-Santa Barbara,28,19,9,.679,-0.07,-4.23,8,5,11,3,8,6,2013,1865,,64.8,110.4,.366,.352,.567,53.9,54.9,7.1,7.4,.527,15.6,32.2,.278
46,University of California,28,12,16,.429,3.26,8.76,6,9,11,5,1,8,1762,1916,,65.9,94.6,.355,.284,.514,49.3,41.1,6.0,6.7,.472,17.4,24.5,.258
47,Campbell,29,14,15,.483,-8.51,-7.88,5,12,7,5,6,9,1984,1924,,67.1,101.5,.257,.417,.555,47.1,59.6,11.1,8.5,.529,17.1,22.3,.188
48,Canisius,28,10,18,.357,-7.85,-5.06,5,12,6,5,3,12,1916,1994,,70.4,97.3,.298,.349,.519,48.5,55.7,10.0,6.9,.489,18.3,28.7,.209
49,Central Arkansas,28,10,18,.357,-10.40,-1.77,9,8,8,3,2,14,2096,2309,,76.1,95.8,.406,.404,.525,50.3,58.1,6.9,12.5,.481,19.8,28.2,.290
50,Central Connecticut State,30,4,26,.133,-20.42,-4.38,3,14,4,8,0,16,1880,2311,,70.4,89.0,.290,.318,.484,44.5,44.8,9.1,9.3,.454,17.9,23.2,.193
51,Central Florida,27,14,13,.519,4.28,4.06,5,10,8,6,4,6,1858,1852,,69.2,98.6,.305,.374,.518,49.2,53.4,9.2,8.1,.486,17.2,29.0,.216
52,Central Michigan,28,13,15,.464,-2.88,-0.20,6,9,11,4,2,11,2225,2149,,75.4,105.0,.342,.375,.536,49.2,41.8,12.1,7.0,.498,14.8,28.3,.250
53,Charleston Southern,29,13,16,.448,-13.19,-6.64,7,10,8,6,5,9,2009,2102,,69.0,99.2,.269,.423,.527,46.5,53.3,8.7,6.6,.496,16.3,23.2,.197
54,Charlotte,26,15,11,.577,1.20,-1.49,9,6,12,1,3,10,1771,1701,,67.2,99.9,.381,.370,.559,50.2,52.5,11.2,10.4,.527,18.7,21.2,.268
55,Chattanooga,30,18,12,.600,-0.24,-2.41,9,8,9,4,7,8,2188,2049,,68.5,106.1,.290,.421,.551,51.8,53.9,6.9,3.8,.524,15.3,27.0,.206
56,Chicago State,28,4,24,.143,-28.14,-2.66,0,13,3,11,1,11,1723,2292,,70.5,87.2,.403,.348,.512,46.0,50.3,7.2,7.4,.466,22.7,22.9,.290
57,Cincinnati,27,18,9,.667,12.66,6.44,11,4,12,2,4,5,1984,1816,,69.4,102.1,.387,.361,.536,53.1,58.3,9.3,12.5,.504,17.6,32.0,.262
58,Citadel,28,6,22,.214,-13.47,-1.27,0,17,3,11,3,11,2110,2258,,76.0,97.9,.305,.472,.538,47.2,55.3,8.9,7.7,.511,18.0,23.1,.210
59,Clemson,27,14,13,.519,10.58,7.50,8,9,10,5,3,7,1803,1720,,66.5,99.0,.286,.464,.530,49.5,55.8,10.1,7.9,.505,16.7,23.6,.194
60,Cleveland State,30,11,19,.367,-10.75,-2.41,7,10,6,8,3,11,1927,2144,,68.8,92.6,.402,.231,.495,49.1,51.5,11.3,7.8,.456,19.3,31.9,.268
61,Coastal Carolina,29,14,15,.483,-0.73,-0.28,7,11,9,9,5,5,2260,2201,,74.1,105.1,.354,.360,.542,54.1,48.9,10.4,9.2,.509,18.4,35.9,.250
62,Colgate,30,22,8,.733,0.60,-5.37,13,4,12,1,9,7,2264,2052,,69.2,108.7,.252,.463,.557,50.4,52.4,8.7,8.2,.529,14.3,26.8,.188
63,College of Charleston,29,16,13,.552,0.85,-0.72,10,7,9,5,6,6,2034,1964,,67.2,104.5,.330,.395,.547,47.4,44.6,9.8,7.2,.507,14.5,22.6,.252
64,Colorado State,30,19,11,.633,7.11,4.42,10,7,11,4,5,6,2256,2153,,69.7,106.1,.392,.390,.567,51.6,58.2,9.3,5.7,.540,16.5,26.0,.264
65,Colorado,29,21,8,.724,16.38,8.28,10,6,13,3,4,5,2064,1829,,67.9,104.3,.370,.387,.550,54.4,56.4,8.3,7.9,.510,17.0,31.0,.273
66,Columbia,26,6,20,.231,-9.12,-3.00,1,9,5,5,0,14,1739,1862,,69.6,94.8,.229,.383,.503,47.5,45.3,7.7,8.4,.474,15.3,20.7,.168
67,Connecticut,28,16,12,.571,10.62,5.30,7,8,13,3,1,7,2017,1868,,69.0,100.7,.330,.355,.515,51.7,51.3,10.0,15.5,.475,17.0,33.4,.242
68,Coppin State,29,9,20,.310,-14.41,-7.55,5,9,5,5,4,15,1974,2173,,74.0,91.2,.318,.475,.490,47.9,42.1,8.6,7.4,.463,17.1,23.9,.202
69,Cornell,23,6,17,.261,-8.28,-2.04,3,7,6,4,0,13,1541,1603,,66.1,99.8,.273,.403,.523,48.1,58.6,10.3,8.0,.495,15.3,26.0,.191
70,Creighton,28,22,6,.786,17.43,9.39,11,4,15,1,6,4,2189,1935,,70.3,110.7,.298,.420,.580,48.7,56.7,9.5,6.2,.552,14.3,23.4,.220
71,Dartmouth,25,10,15,.400,-4.53,-3.07,3,7,6,4,3,10,1617,1603,,66.7,96.0,.260,.383,.522,51.0,50.7,7.2,8.4,.499,16.7,21.0,.176
72,Davidson,27,15,12,.556,9.42,2.79,9,6,10,1,4,7,1977,1798,,65.7,108.5,.309,.447,.569,51.1,56.1,8.3,7.8,.535,14.8,25.2,.235
73,Dayton,28,26,2,.929,18.46,3.71,15,0,15,0,8,0,2238,1825,,68.3,115.5,.342,.392,.615,52.0,60.3,8.6,9.0,.591,16.1,26.6,.247
74,Delaware State,27,3,24,.111,-22.10,-7.94,2,11,3,10,0,13,1950,2269,,75.9,94.2,.333,.391,.504,46.3,42.2,9.3,6.4,.470,17.4,25.2,.226
75,Delaware,30,20,10,.667,-1.72,-3.75,10,7,10,3,6,6,2230,2125,,68.8,107.6,.314,.384,.581,50.5,48.7,7.8,9.0,.547,16.7,24.1,.241
76,Denver,29,6,23,.207,-10.58,-1.79,2,13,5,8,0,14,1997,2226,,71.7,95.2,.367,.294,.526,47.9,45.5,8.2,6.6,.491,17.6,20.6,.253
77,DePaul,28,14,14,.500,8.57,8.20,2,13,10,7,4,7,2025,1986,,72.1,99.4,.334,.304,.521,50.7,53.1,11.7,15.7,.496,17.6,31.0,.214
78,Detroit Mercy,30,7,23,.233,-9.88,-1.58,5,12,5,8,1,14,2085,2334,,70.5,98.2,.321,.440,.506,49.5,45.5,8.1,8.5,.458,16.6,30.9,.251
79,Drake,30,18,12,.600,-0.17,-0.17,8,9,14,1,2,10,2098,2035,,68.3,101.9,.299,.384,.555,51.6,60.2,8.4,11.3,.527,17.2,23.8,.213
80,Drexel,30,13,17,.433,-5.20,-2.23,6,11,10,5,1,12,2079,2132,,68.4,100.9,.293,.370,.539,52.0,58.8,8.2,7.2,.511,18.7,30.8,.205
81,Duke,28,23,5,.821,22.83,7.79,13,4,13,2,7,3,2331,1910,,73.4,111.5,.348,.316,.561,53.9,52.2,11.3,13.5,.531,15.3,34.7,.246
