,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
135,Purdue-Fort Wayne,30,13,17,.433,-8.03,-3.59,6,9,10,5,3,12,2062,2101,,1200,761,1701,.447,241,703,.343,338,475,.712,237,998,410,191,91,396,460
136,IUPUI,30,7,23,.233,-14.39,-3.35,3,14,4,8,3,13,2109,2381,,1210,862,1885,.457,268,732,.366,389,540,.720,356,1178,484,210,116,384,535
137,Jackson State,27,10,17,.370,-11.78,-6.26,7,7,6,3,4,14,1796,1869,,1080,626,1419,.441,162,459,.353,455,630,.722,240,978,331,157,88,435,471
138,Jacksonville State,30,12,18,.400,-8.18,-6.18,7,10,7,6,4,11,2158,2080,,1205,768,1700,.452,209,650,.322,335,484,.692,249,980,404,192,88,433,486
139,Jacksonville,30,13,17,.433,-6.35,-5.49,6,9,6,7,6,8,1998,1990,,1215,717,1776,.404,203,688,.295,353,498,.709,287,1041,315,200,94,324,479
140,James Madison,28,9,19,.321,-8.91,-2.65,2,15,6,9,3,10,2015,2136,,1120,764,1731,.441,244,709,.344,364,500,.728,274,1085,397,160,100,337,504
141,Kansas State,28,9,19,.321,7.67,8.92,2,13,8,6,1,9,1801,1836,,1125,627,1452,.432,199,585,.340,383,549,.698,269,966,335,210,114,455,495
142,Kansas,28,25,3,.893,25.92,11.74,14,1,13,1,9,1,2109,1696,,1125,620,1652,.375,200,670,.299,256,381,.672,281,905,326,183,101,374,470
143,Kennesaw State,28,1,27,.036,-22.32,-2.39,0,15,1,9,0,16,1547,2105,,1120,780,1609,.485,226,611,.370,319,488,.654,282,1059,406,179,108,355,494
144,Kent State,28,18,10,.643,3.48,-1.06,8,7,12,3,5,5,2128,1941,,1140,683,1646,.415,209,599,.349,366,517,.708,311,993,352,144,59,411,485
145,Kentucky,28,23,5,.821,15.91,6.70,13,2,15,1,7,2,2090,1832,,1130,642,1657,.387,190,631,.301,358,523,.685,305,915,296,144,89,337,553
146,La Salle,27,13,14,.481,-0.21,1.87,4,11,7,6,3,8,1825,1881,,1095,637,1503,.424,164,549,.299,443,622,.712,272,973,345,229,106,391,481
147,Lafayette,28,17,11,.607,-5.37,-6.08,9,8,8,5,9,6,1975,1916,,1120,730,1712,.426,186,606,.307,270,392,.689,269,975,319,168,56,273,396
148,Lamar,29,16,13,.552,-7.49,-6.69,10,8,10,4,6,9,2090,2003,,1170,732,1701,.430,225,653,.345,314,454,.692,333,1058,402,209,104,509,544
149,Lehigh,29,9,20,.310,-11.14,-3.59,6,11,7,6,2,14,1962,2110,,1170,736,1684,.437,235,710,.331,403,558,.722,261,970,410,198,101,343,457
150,Liberty,30,27,3,.900,6.48,-6.99,13,2,14,0,7,3,2067,1585,,1200,567,1500,.378,173,600,.288,278,400,.695,215,871,246,140,52,370,483
151,Lipscomb,28,13,15,.464,-7.95,-5.02,8,7,7,5,6,10,1980,1983,,1125,724,1658,.437,231,662,.349,304,444,.685,286,998,348,168,107,366,440
152,Cal State Long Beach,29,10,19,.345,-8.86,2.03,5,8,7,6,2,11,1932,2179,,1165,782,1763,.444,247,723,.342,368,519,.709,333,1088,451,235,76,420,528
153,Long Island University,30,14,16,.467,-7.58,-6.10,9,8,7,6,6,9,2298,2300,,1220,848,1936,.438,231,689,.335,373,531,.702,344,1182,429,187,104,412,548
154,Longwood,31,14,17,.452,-11.53,-9.15,9,9,8,6,6,11,2095,2117,,1260,733,1712,.428,253,735,.344,398,588,.677,268,1115,427,193,105,440,566
155,Louisiana,29,12,17,.414,-5.00,-0.82,7,11,8,6,3,10,2085,2174,,1165,774,1735,.446,213,654,.326,413,557,.741,299,1044,390,197,83,406,540
156,Louisiana-Monroe,28,9,19,.321,-6.78,-0.36,5,14,7,7,2,12,1774,1895,,1125,664,1591,.417,192,606,.317,375,528,.710,301,980,351,168,72,321,475
157,Louisiana State,28,19,9,.679,13.86,7.11,10,5,13,2,5,5,2247,2058,,1130,748,1767,.423,258,734,.351,304,435,.699,312,931,362,166,97,339,504
158,Louisiana Tech,28,20,8,.714,6.71,-1.48,11,5,13,1,7,7,2093,1794,,1130,622,1564,.398,198,625,.317,352,496,.710,279,961,309,136,86,412,458
159,Louisville,29,23,6,.793,17.97,7.32,14,4,16,1,6,4,2174,1865,,1170,652,1676,.389,205,683,.300,356,488,.730,279,944,305,173,94,340,505
160,Loyola (IL),30,20,10,.667,5.89,0.37,12,5,14,2,4,6,2058,1867,,1210,686,1558,.440,248,678,.366,247,373,.662,219,904,366,187,100,477,535
161,Loyola Marymount,29,10,19,.345,-0.89,4.00,4,11,7,8,2,9,1862,1956,,1165,658,1492,.441,224,680,.329,416,569,.731,241,851,395,186,102,366,517
162,Loyola (MD),30,15,15,.500,-9.12,-6.81,7,10,9,3,5,12,2202,2242,,1210,791,1811,.437,238,729,.326,422,586,.720,321,1075,433,197,93,388,617
163,Maine,28,7,21,.250,-13.55,-3.70,3,11,4,7,2,14,1709,1935,,1130,657,1529,.430,223,683,.327,398,524,.760,256,944,354,211,66,347,442
164,Manhattan,26,12,14,.462,-7.38,-6.49,8,9,7,5,5,9,1645,1668,,1050,546,1335,.409,158,452,.350,418,602,.694,256,932,315,164,81,394,495
165,Marist,26,7,19,.269,-11.47,-7.05,6,11,4,8,3,11,1591,1706,,1065,561,1358,.413,193,583,.331,391,545,.717,227,919,322,171,59,364,441
166,Marquette,27,18,9,.667,16.21,8.95,8,7,13,2,3,6,2100,1904,,1100,680,1662,.409,181,572,.316,363,555,.654,275,953,347,179,83,304,531
167,Marshall,29,14,15,.483,1.26,0.23,8,8,9,6,4,9,2167,2102,,1165,724,1786,.405,190,584,.325,464,671,.692,381,1191,292,243,82,461,434
168,Maryland-Baltimore County,29,14,15,.483,-7.95,-4.47,7,7,9,5,5,8,1985,1918,,1165,656,1629,.403,225,721,.312,381,513,.743,268,1008,332,196,87,391,521
169,Maryland-Eastern Shore,28,5,23,.179,-20.99,-4.22,4,9,4,4,1,19,1594,2001,,1130,703,1557,.452,198,586,.338,397,578,.687,296,1117,387,206,96,421,418
170,Maryland,28,23,5,.821,18.25,9.79,13,4,15,0,5,5,2010,1773,,1120,649,1661,.391,202,634,.319,273,392,.696,272,956,353,158,100,334,528
171,Massachusetts-Lowell,29,12,17,.414,-8.00,-5.64,6,8,8,8,4,9,2173,2196,,1175,823,1791,.460,217,641,.339,333,473,.704,313,1029,404,201,95,402,560
172,Massachusetts,28,13,15,.464,0.96,3.43,7,8,11,4,2,8,1915,1984,,1130,728,1593,.457,164,500,.328,364,529,.688,287,1009,402,198,65,405,498
173,McNeese State,28,13,15,.464,-8.48,-6.81,8,9,10,5,3,10,2255,2084,,1130,742,1716,.432,250,700,.357,350,477,.734,303,900,404,210,82,397,521
174,Memphis,28,19,9,.679,11.94,4.37,8,7,14,3,4,5,2033,1821,,1125,616,1685,.366,180,622,.289,409,593,.690,334,1011,332,214,84,433,549
175,Mercer,30,16,14,.533,-3.20,-2.81,10,7,8,6,8,6,2179,2131,,1200,754,1750,.431,223,696,.320,400,605,.661,289,976,383,213,77,380,480
176,Merrimack,31,20,11,.645,-7.04,-6.64,14,4,10,2,9,8,1948,1866,,1255,655,1553,.422,146,484,.302,408,575,.710,334,1140,380,157,109,539,464
177,Miami (FL),27,14,13,.519,6.26,8.26,6,11,8,4,4,7,1973,2027,,1105,774,1724,.449,210,600,.350,269,379,.710,318,1041,429,163,121,333,452
178,Miami (OH),28,11,17,.393,-5.58,-0.81,4,11,9,5,1,10,1977,1999,,1120,703,1594,.441,218,612,.356,375,557,.673,278,1042,320,152,94,358,472
179,Michigan State,28,19,9,.679,21.35,10.10,11,6,11,3,5,4,2116,1801,,1120,639,1698,.376,182,641,.284,341,489,.697,291,933,361,174,98,319,481
180,Michigan,28,18,10,.643,18.54,10.93,9,8,10,5,4,5,2111,1898,,1135,723,1723,.420,150,481,.312,302,445,.679,272,993,281,126,74,310,450
181,Middle Tennessee,28,7,21,.250,-8.37,1.51,3,12,4,9,3,9,2006,2133,,1125,745,1584,.470,206,544,.379,437,617,.708,257,1018,386,179,83,391,467
182,Milwaukee,29,12,17,.414,-7.01,-3.82,7,10,7,7,4,8,2090,2116,,1185,708,1620,.437,201,573,.351,499,694,.719,292,1092,362,170,96,443,538
183,Minnesota,27,13,14,.481,15.84,11.84,7,10,10,5,2,8,1888,1780,,1090,652,1604,.406,156,498,.313,320,452,.708,294,986,350,143,96,298,456
184,Mississippi State,28,18,10,.643,11.97,6.76,9,6,13,2,3,6,2068,1922,,1120,682,1593,.428,187,584,.320,371,508,.730,277,845,343,202,79,330,514
185,Mississippi Valley State,27,2,25,.074,-29.34,-6.82,2,13,1,8,1,17,1843,2451,,1085,886,1836,.483,231,654,.353,448,653,.686,376,1309,535,185,82,373,402
186,Mississippi,28,13,15,.464,7.48,6.63,4,11,10,5,1,9,1940,1916,,1130,649,1524,.426,158,545,.290,460,626,.735,265,970,351,172,109,390,530
187,Missouri-Kansas City,28,14,14,.500,-6.16,-2.24,6,7,8,4,4,8,1953,1867,,1145,614,1439,.427,143,483,.296,496,655,.757,256,953,302,166,121,418,452
188,Missouri State,30,14,16,.467,2.24,0.67,8,9,10,4,3,10,2086,2039,,1205,720,1660,.434,219,635,.345,380,536,.709,232,942,336,179,92,367,500
189,Missouri,28,14,14,.500,8.05,6.12,6,9,11,3,2,9,1882,1828,,1130,587,1445,.406,159,548,.290,495,680,.728,267,936,290,166,96,400,525
190,Monmouth,27,16,11,.593,-5.08,-5.20,10,6,9,1,6,9,1921,1918,,1085,636,1492,.426,213,599,.356,433,607,.713,266,1034,326,162,89,436,524
191,Montana State,28,14,14,.500,-5.50,-2.46,8,9,8,4,4,10,1869,1879,,1120,673,1621,.415,202,647,.312,331,475,.697,253,933,339,189,102,317,512
192,Montana,28,17,11,.607,0.77,-1.73,13,4,12,1,5,10,1972,1895,,1130,638,1490,.428,161,475,.339,458,638,.718,231,944,291,172,76,403,458
193,Morehead State,30,13,17,.433,-10.76,-6.30,7,10,11,4,2,13,2065,2086,,1210,767,1796,.427,218,675,.323,334,486,.687,314,1100,369,171,148,376,491
194,Morgan State,29,15,14,.517,-12.26,-8.83,9,5,8,4,7,7,2055,2057,,1175,655,1608,.407,195,628,.311,552,795,.694,316,1019,336,194,98,405,571
195,Mount St. Mary's,30,11,19,.367,-9.40,-6.37,7,10,8,5,3,14,1917,1988,,1215,717,1662,.431,216,615,.351,338,473,.715,269,1036,376,168,105,346,541
196,Murray State,29,21,8,.724,1.16,-6.88,14,3,14,0,6,6,2190,1872,,1170,658,1653,.398,191,610,.313,365,524,.697,248,909,306,178,107,378,551
197,Navy,28,14,14,.500,-7.19,-5.75,8,9,10,5,4,9,1785,1793,,1140,642,1478,.434,208,609,.342,301,444,.678,229,882,366,163,117,327,480
198,Omaha,30,16,14,.533,-4.06,-1.26,9,6,12,2,4,11,2233,2295,,1220,822,1836,.448,255,720,.354,396,539,.735,300,1082,439,166,101,356,487
199,Nebraska,28,7,21,.250,3.75,10.11,2,15,5,10,0,10,1962,2140,,1140,818,1851,.442,237,727,.326,267,400,.668,375,1267,414,151,134,389,467
200,Nevada-Las Vegas,30,16,14,.533,6.68,5.08,11,6,12,6,4,7,2154,2106,,1235,696,1645,.423,241,711,.339,473,656,.721,252,971,418,192,101,363,546
201,Nevada,29,19,10,.655,9.36,3.92,12,5,12,2,4,7,2244,2086,,1165,701,1751,.400,225,773,.291,457,645,.709,281,1034,359,140,75,313,479
202,New Hampshire,27,14,13,.519,-7.49,-5.85,7,7,9,2,5,11,1861,1784,,1095,607,1539,.394,182,593,.307,388,566,.686,215,962,257,169,83,336,476
203,New Mexico State,29,23,6,.793,2.88,-4.27,14,0,12,1,8,3,2069,1756,,1165,624,1454,.429,179,547,.327,329,447,.736,184,787,294,180,58,406,535
204,New Mexico,30,17,13,.567,2.67,2.09,6,11,14,3,2,9,2316,2278,,1200,839,1868,.449,284,810,.351,316,459,.688,333,1071,496,209,77,436,588
205,New Orleans,27,8,19,.296,-13.13,-4.13,4,13,5,8,3,11,2042,2067,,1080,735,1501,.490,183,517,.354,412,566,.728,261,899,419,175,116,443,522
206,Niagara,28,10,18,.357,-11.07,-3.97,8,9,8,3,2,15,1828,2027,,1125,740,1622,.456,241,670,.360,306,431,.710,344,1115,454,127,95,395,427
207,Nicholls State,29,19,10,.655,-5.13,-5.53,13,5,11,1,7,8,2216,2020,,1170,698,1610,.434,167,541,.309,458,634,.722,323,1069,382,189,82,546,485
208,NJIT,28,8,20,.286,-10.84,-4.58,5,10,5,7,3,13,1779,1920,,1120,685,1538,.445,187,540,.346,363,504,.720,245,1002,354,151,97,345,461
209,Norfolk State,28,13,15,.464,-8.07,-8.15,9,4,10,2,2,12,1950,1818,,1125,600,1486,.404,182,606,.300,436,622,.701,269,977,364,160,86,453,494
210,North Alabama,28,12,16,.429,-8.70,-5.47,7,8,9,4,3,12,1912,1937,,1120,674,1560,.432,168,515,.326,421,612,.688,267,982,290,151,104,388,531
211,North Carolina-Asheville,28,14,14,.500,-9.99,-8.34,8,9,9,5,5,9,2123,2100,,1125,764,1515,.504,173,463,.374,399,605,.660,257,1006,394,136,78,476,512
212,North Carolina A&T,29,15,14,.517,-9.33,-6.83,11,3,11,1,3,11,2069,2077,,1170,717,1745,.411,199,682,.292,444,706,.629,350,1173,375,205,93,485,589
213,North Carolina Central,27,14,13,.519,-10.43,-7.93,10,3,10,0,4,13,1830,1740,,1085,617,1484,.416,179,591,.303,327,472,.693,301,935,324,164,81,477,429
214,North Carolina-Greensboro,30,23,7,.767,6.85,-1.51,13,4,14,4,9,3,2232,1868,,1215,642,1538,.417,212,625,.339,372,556,.669,258,1016,322,174,74,548,500
215,North Carolina State,28,17,11,.607,11.48,6.59,8,9,12,4,5,6,2085,1948,,1125,688,1622,.424,171,545,.314,401,582,.689,313,1042,302,182,95,397,470
216,North Carolina-Wilmington,30,10,20,.333,-8.62,-0.62,5,12,8,7,1,12,2066,2146,,1210,776,1764,.440,216,678,.319,378,553,.684,306,1103,380,195,76,390,499
217,North Carolina,28,11,17,.393,8.81,9.67,4,13,6,8,2,8,1991,2015,,1140,716,1703,.420,235,702,.335,348,470,.740,248,963,379,197,113,329,526
218,North Dakota State,29,21,8,.724,0.84,-3.83,12,3,12,1,8,6,2145,1925,,1165,719,1643,.438,176,522,.337,311,428,.727,173,913,279,143,77,305,481
219,North Dakota,29,13,16,.448,-5.92,-1.31,7,8,8,3,4,12,2203,2174,,1170,806,1773,.455,204,557,.366,358,490,.731,257,962,352,194,82,327,532
220,North Florida,31,20,11,.645,-0.07,-2.89,13,3,12,1,7,9,2421,2255,,1240,872,1903,.458,145,469,.309,366,520,.704,345,1111,457,181,88,354,468
221,North Texas,29,19,10,.655,8.12,1.79,13,3,12,3,7,5,2082,1834,,1160,626,1479,.423,186,544,.342,396,571,.694,265,850,297,199,89,405,489
222,Northeastern,29,15,14,.517,1.66,-3.51,9,8,7,5,7,7,2074,1924,,1165,700,1535,.456,187,576,.325,337,471,.715,208,863,303,155,67,384,448
223,Northern Arizona,27,16,11,.593,-3.60,-1.96,10,8,9,4,6,7,1943,1874,,1085,687,1506,.456,194,550,.353,306,420,.729,221,889,353,149,67,355,458
224,Northern Colorado,28,20,8,.714,5.88,-2.97,13,4,11,2,7,5,2093,1752,,1130,689,1565,.440,107,370,.289,267,382,.699,209,897,231,132,80,322,418
225,Northern Illinois,28,17,11,.607,-1.24,-2.28,10,5,10,3,7,8,1877,1801,,1125,626,1570,.399,202,683,.296,347,481,.721,247,960,322,143,90,317,459
226,Northern Iowa,29,24,5,.828,10.34,1.57,13,4,16,0,7,4,2204,1886,,1175,700,1671,.419,212,631,.336,274,403,.680,235,869,306,204,61,303,441
227,Northern Kentucky,29,21,8,.724,-0.24,-5.06,13,4,11,3,10,5,2104,1894,,1170,695,1672,.416,173,581,.298,331,494,.670,323,1064,374,159,63,422,526
228,Northwestern State,26,12,14,.462,-11.79,-6.14,9,8,8,5,4,9,1899,1955,,1045,661,1644,.402,197,582,.338,436,606,.719,343,998,357,228,67,353,464
229,Northwestern,27,6,21,.222,4.88,10.21,1,16,4,11,1,9,1746,1890,,1085,669,1572,.426,222,660,.336,330,453,.728,286,1018,432,141,92,289,411
230,Notre Dame,28,18,10,.643,10.91,5.12,9,8,14,3,4,6,2088,1926,,1130,737,1774,.415,217,643,.337,233,332,.702,316,1081,377,159,92,332,428
231,Oakland,30,12,18,.400,-6.06,-2.68,7,10,7,5,3,11,2028,2098,,1220,760,1802,.422,272,815,.334,306,452,.677,337,1075,447,203,83,369,582
232,Ohio State,28,19,9,.679,19.22,9.50,9,8,13,2,4,6,2017,1745,,1120,610,1562,.391,203,610,.333,322,472,.682,260,881,293,136,82,344,521
233,Ohio,28,14,14,.500,0.13,0.33,6,9,10,5,3,7,1991,1919,,1120,665,1583,.420,212,623,.340,377,487,.774,245,956,311,175,70,368,498
234,Oklahoma State,28,14,14,.500,11.01,10.76,4,11,8,6,4,7,1868,1861,,1120,632,1574,.402,218,710,.307,379,535,.708,292,999,377,169,97,390,486
235,Oklahoma,28,17,11,.607,13.22,10.51,7,8,12,2,2,8,1975,1899,,1120,704,1751,.402,238,706,.337,253,348,.727,291,1061,331,175,70,328,479
236,Old Dominion,28,11,17,.393,0.05,0.47,7,8,8,4,3,10,1810,1822,,1125,605,1511,.400,231,699,.330,381,537,.709,219,964,334,133,114,361,439
237,Oral Roberts,28,15,13,.536,1.67,-1.41,8,7,12,1,3,12,2265,2072,,1130,748,1669,.448,222,649,.342,354,497,.712,259,968,380,127,96,376,485
238,Oregon State,28,15,13,.536,9.13,6.02,5,11,10,4,3,8,1994,1907,,1120,677,1574,.430,200,575,.348,353,484,.729,279,942,370,158,89,340,525
239,Oregon,29,22,7,.759,17.49,9.35,11,5,15,0,5,5,2182,1946,,1195,680,1673,.406,222,684,.325,364,501,.727,325,987,358,120,103,393,446
240,Pacific,31,22,9,.710,4.29,0.05,10,5,15,3,6,5,2175,1992,,1275,666,1614,.413,201,593,.339,459,653,.703,197,864,271,171,76,383,568
241,Penn State,28,21,7,.750,17.41,8.80,11,6,14,2,5,4,2119,1878,,1120,672,1664,.404,174,546,.319,360,533,.675,292,1036,321,160,84,383,510
242,Pennsylvania,23,13,10,.565,0.36,0.32,5,5,6,3,5,6,1682,1633,,925,614,1459,.421,144,444,.324,261,371,.704,247,884,242,162,63,274,360
243,Pepperdine,29,15,14,.517,2.59,3.01,8,7,9,4,6,7,2211,2223,,1175,778,1698,.458,243,632,.384,424,593,.715,283,1044,461,191,81,413,572
244,Pittsburgh,29,15,14,.517,7.07,6.76,6,12,11,7,2,7,1883,1874,,1165,682,1606,.425,223,653,.342,287,407,.705,335,1048,402,148,115,446,523
245,Portland State,29,15,14,.517,-1.97,-2.12,9,8,9,3,5,11,2273,2191,,1160,813,1732,.469,180,535,.336,385,529,.728,329,1028,456,168,101,441,511
246,Portland,30,9,21,.300,-6.59,1.84,1,14,7,9,2,8,1996,2160,,1210,784,1812,.433,249,733,.340,343,525,.653,331,1139,470,212,82,403,561
247,Prairie View,27,16,11,.593,-5.17,-6.81,12,2,9,0,6,10,1931,1837,,1085,603,1407,.429,164,548,.299,467,683,.684,242,902,314,158,90,474,547
248,Presbyterian,30,9,21,.300,-14.89,-6.39,6,11,6,6,3,13,2015,2200,,1210,753,1666,.452,267,739,.361,427,612,.698,280,1000,405,218,99,352,501
249,Princeton,23,12,11,.522,-2.01,-1.10,7,3,6,5,4,5,1634,1608,,925,609,1294,.471,129,387,.333,261,348,.750,180,717,253,150,76,274,379
250,Providence,28,16,12,.571,11.97,7.87,9,6,11,3,4,6,1983,1868,,1125,636,1518,.419,179,561,.319,417,582,.716,269,999,333,194,99,421,529
251,Purdue,29,15,14,.517,16.12,10.40,8,10,11,4,3,8,1969,1803,,1185,628,1544,.407,196,650,.302,351,494,.711,259,940,375,149,104,388,471
252,Quinnipiac,27,12,15,.444,-8.35,-6.27,7,10,8,5,3,9,1888,1944,,1080,731,1697,.431,218,604,.361,264,385,.686,261,930,410,186,84,258,441
253,Radford,29,20,9,.690,-1.84,-5.29,15,2,10,2,9,6,2100,1911,,1165,658,1589,.414,229,721,.318,366,537,.682,273,943,355,122,80,323,527
254,Rhode Island,27,20,7,.741,10.61,4.32,12,3,12,1,7,5,2017,1847,,1090,674,1630,.413,182,624,.292,317,457,.694,289,1018,349,151,87,418,506
255,Rice,28,13,15,.464,-3.28,-0.13,5,10,7,6,4,8,2066,2090,,1120,775,1704,.455,219,668,.328,321,468,.686,266,1009,378,175,78,337,487
256,Richmond,28,21,7,.750,10.21,2.60,11,4,12,2,8,3,2087,1874,,1130,672,1609,.418,197,654,.301,333,478,.697,277,1010,313,164,87,398,435
257,Rider,27,15,12,.556,-3.97,-5.23,9,8,9,1,4,11,1937,1903,,1080,677,1580,.428,234,712,.329,315,461,.683,227,899,362,184,97,365,521
258,Robert Morris,30,16,14,.533,-5.93,-6.34,12,5,8,3,7,11,2073,2021,,1200,734,1621,.453,193,594,.325,360,503,.716,278,1027,383,186,110,444,463
259,Rutgers,29,18,11,.621,15.32,9.35,9,9,17,1,1,8,2019,1807,,1165,634,1648,.385,215,672,.320,324,458,.707,277,986,347,161,104,382,497
260,Sacramento State,27,15,12,.556,-1.67,-2.59,8,10,10,3,4,9,1690,1582,,1080,559,1356,.412,127,397,.320,337,440,.766,216,837,275,140,78,389,447
261,Sacred Heart,30,18,12,.600,-4.65,-7.61,11,6,7,4,10,7,2211,2081,,1200,785,1909,.411,210,645,.326,301,436,.690,344,1048,434,202,108,345,575
262,Saint Francis (PA),28,20,8,.714,-2.20,-6.65,13,4,11,2,8,6,2179,2010,,1125,727,1636,.444,212,636,.333,344,477,.721,268,916,361,165,96,394,514
263,Saint Joseph's,28,5,23,.179,-5.56,5.69,1,14,3,9,2,11,1915,2230,,1125,800,1724,.464,221,589,.375,409,563,.726,275,1087,408,198,121,286,465
264,Saint Louis,28,20,8,.714,8.28,2.91,9,6,14,3,4,4,2010,1852,,1135,630,1549,.407,202,619,.326,390,561,.695,251,934,311,190,99,381,535
265,Saint Mary's (CA),30,24,6,.800,12.49,3.80,11,4,14,3,6,2,2277,1974,,1230,743,1660,.448,173,532,.325,315,443,.711,222,895,284,121,93,349,491
266,Saint Peter's,27,15,12,.556,-3.67,-5.93,12,6,10,3,5,9,1797,1736,,1085,578,1432,.404,171,517,.331,409,580,.705,257,868,311,210,130,404,487
267,Sam Houston State,29,18,11,.621,-4.47,-6.91,11,7,12,3,6,8,2300,2103,,1185,684,1635,.418,219,694,.316,516,695,.742,280,1004,368,198,90,540,539
268,Samford,31,9,22,.290,-12.94,-0.51,3,14,6,8,3,14,2286,2537,,1250,936,2043,.458,326,911,.358,339,499,.679,392,1205,576,241,106,440,577
269,San Diego State,28,27,1,.964,18.90,3.42,16,1,14,1,10,0,2102,1640,,1120,569,1501,.379,175,620,.282,325,453,.717,254,893,296,153,54,398,494
270,San Diego,30,9,21,.300,-2.99,4.70,2,13,6,8,3,10,1976,2173,,1215,802,1786,.449,188,579,.325,381,543,.702,270,1051,384,208,96,390,528
271,San Francisco,30,19,11,.633,7.56,3.73,8,7,12,5,6,6,2246,2084,,1215,758,1694,.447,194,499,.389,374,518,.722,235,1005,326,187,91,400,507
272,San Jose State,29,7,22,.241,-7.19,5.13,3,14,6,9,1,12,2032,2352,,1165,853,1805,.473,222,625,.355,424,616,.688,310,1177,544,212,71,376,542
273,Santa Clara,30,18,12,.600,2.29,1.11,5,10,15,5,3,7,2276,2151,,1205,745,1757,.424,188,565,.333,473,666,.710,294,1075,375,204,86,422,542
274,Seattle,28,14,14,.500,-4.07,-4.07,7,6,9,4,3,9,2090,2022,,1140,684,1622,.422,179,578,.310,475,649,.732,264,1033,338,151,88,383,579
275,Seton Hall,27,20,7,.741,17.25,9.32,12,3,11,3,7,3,2016,1802,,1080,631,1612,.391,160,532,.301,380,536,.709,325,1001,303,180,85,390,501
276,Siena,26,16,10,.615,-1.81,-5.05,12,5,13,0,3,10,1889,1805,,1055,656,1497,.438,174,526,.331,319,426,.749,226,835,292,142,97,321,482
277,South Alabama,29,18,11,.621,-0.54,-1.00,11,7,9,5,7,5,2073,1975,,1165,704,1657,.425,262,763,.343,305,435,.701,305,984,396,156,111,403,515
278,South Carolina State,26,11,15,.423,-15.32,-8.53,6,8,8,3,3,12,1827,1951,,1055,703,1531,.459,184,548,.336,361,535,.675,257,875,318,145,83,307,482
279,South Carolina Upstate,30,11,19,.367,-13.42,-5.64,6,11,8,6,3,13,2057,2216,,1200,755,1640,.460,223,650,.343,483,663,.729,272,1078,361,175,92,403,502
280,South Carolina,28,17,11,.607,10.34,6.05,9,6,11,5,6,4,2032,1912,,1125,587,1504,.390,177,602,.294,561,772,.727,277,980,321,170,101,442,570
281,South Dakota State,31,22,9,.710,2.74,-4.12,13,3,16,0,6,9,2419,2179,,1255,811,1930,.420,218,719,.303,339,498,.681,329,1046,347,202,98,347,576
282,South Dakota,30,19,11,.633,-1.54,-3.54,9,6,12,2,5,8,2399,2233,,1200,805,1770,.455,219,614,.357,404,545,.741,219,959,340,156,76,341,609
283,South Florida,28,12,16,.429,4.99,4.84,5,10,9,6,2,6,1751,1747,,1130,618,1393,.444,186,558,.333,325,471,.690,205,859,312,187,84,431,497
284,Southeast Missouri State,30,7,23,.233,-14.28,-5.00,3,14,6,7,0,15,1976,2220,,1205,800,1702,.470,231,628,.368,389,560,.695,278,1085,452,168,100,379,545
285,Southeastern Louisiana,28,6,22,.214,-16.57,-5.05,3,14,4,8,2,13,1924,2193,,1135,760,1591,.478,195,576,.339,478,638,.749,298,1062,432,210,87,489,514
286,Southern California,29,20,9,.690,11.31,7.14,9,7,12,2,5,6,2054,1933,,1175,688,1772,.388,219,694,.316,338,489,.691,318,1029,353,230,86,376,539
287,SIU Edwardsville,30,8,22,.267,-13.87,-5.77,5,12,4,9,4,13,2021,2191,,1200,732,1682,.435,224,689,.325,503,684,.735,307,1075,448,182,97,403,508
288,Southern Illinois,30,16,14,.533,0.42,-0.03,10,7,12,3,3,9,1884,1843,,1205,702,1645,.427,176,574,.307,263,387,.680,299,1048,373,188,90,398,481
289,Southern Methodist,27,19,8,.704,8.25,3.00,9,6,15,1,4,7,2008,1866,,1105,657,1554,.423,231,660,.350,321,435,.738,268,864,394,192,82,345,469
290,Southern Mississippi,28,9,19,.321,-5.31,3.29,5,10,8,6,1,10,1872,2030,,1125,694,1604,.433,247,742,.333,395,536,.737,271,946,366,207,71,349,413
291,Southern Utah,28,14,14,.500,0.01,-1.61,7,10,8,5,5,9,2017,1845,,1135,634,1614,.393,167,567,.295,410,569,.721,234,903,312,162,119,351,511
292,Southern,28,13,15,.464,-10.83,-8.99,10,5,8,1,4,14,1918,1883,,1125,633,1457,.434,146,475,.307,471,688,.685,234,884,271,167,93,390,491
293,St. Bonaventure,28,18,10,.643,3.94,1.72,10,5,8,5,7,5,1940,1855,,1130,642,1545,.416,232,699,.332,339,498,.681,259,929,389,150,85,346,450
294,St. Francis (NY),29,12,17,.414,-11.43,-7.11,6,11,9,5,3,12,2025,2082,,1165,729,1672,.436,197,551,.358,427,611,.699,296,1092,337,158,86,400,477
