,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
35,Buffalo,28,18,10,.643,2.42,0.08,9,6,9,5,6,4,2201,2101,,1130,773,1770,.437,184,595,.309,371,518,.716,306,1051,364,198,113,414,494
36,Butler,28,19,9,.679,14.79,9.15,7,8,12,3,4,6,1916,1758,,1125,604,1521,.397,199,591,.337,351,483,.727,238,847,325,157,89,322,468
37,Cal Poly,28,7,21,.250,-10.02,-0.06,4,10,7,6,0,13,1887,2099,,1150,708,1555,.455,210,558,.376,473,659,.718,267,1032,381,179,86,372,516
38,Cal State Bakersfield,29,12,17,.414,-6.78,-3.36,6,8,9,6,3,11,2002,1971,,1185,625,1460,.428,210,586,.358,511,714,.716,235,890,327,151,84,392,506
39,Cal State Fullerton,28,10,18,.357,-6.85,-0.93,5,8,5,8,4,9,1907,1990,,1145,710,1605,.442,173,520,.333,397,551,.721,251,1008,337,175,86,365,531
40,Cal State Northridge,29,12,17,.414,-7.53,-1.05,7,6,8,4,4,12,2178,2284,,1160,813,1752,.464,283,726,.390,375,520,.721,307,1072,448,149,93,375,528
41,California Baptist,28,20,8,.714,-0.53,-7.23,9,4,14,5,6,3,2251,1921,,1125,705,1701,.414,167,545,.306,344,515,.668,266,947,342,162,94,318,552
42,UC-Davis,29,13,16,.448,-4.46,-2.39,7,6,7,3,5,11,2127,2077,,1170,734,1599,.459,207,616,.336,402,559,.719,266,958,424,176,76,404,515
43,UC-Irvine,30,20,10,.667,4.00,-2.00,12,2,10,1,8,8,2228,1957,,1200,660,1716,.385,209,602,.347,428,607,.705,274,906,318,165,78,354,490
44,UC-Riverside,30,15,15,.500,-3.91,-4.09,5,9,10,5,5,10,1944,1835,,1205,655,1607,.408,186,527,.353,339,497,.682,219,913,325,167,83,326,474
45,UC-Santa Barbara,28,19,9,.679,-0.07,-4.23,8,5,11,3,8,6,2013,1865,,1125,679,1508,.450,188,533,.353,319,445,.717,221,820,319,125,64,332,529
46,University of California,28,12,16,.429,3.26,8.76,6,9,11,5,1,8,1762,1916,,1130,647,1524,.425,207,593,.349,415,565,.735,251,935,333,136,100,329,501
47,Campbell,29,14,15,.483,-8.51,-7.88,5,12,7,5,6,9,1984,1924,,1165,676,1540,.439,161,522,.308,411,580,.709,275,991,299,184,63,415,434
48,Canisius,28,10,18,.357,-7.85,-5.06,5,12,6,5,3,12,1916,1994,,1120,711,1562,.455,194,571,.340,378,547,.691,285,987,346,197,82,428,486
49,Central Arkansas,28,10,18,.357,-10.40,-1.77,9,8,8,3,2,14,2096,2309,,1150,811,1801,.450,246,665,.370,441,622,.709,303,1065,441,253,89,392,596
50,Central Connecticut State,30,4,26,.133,-20.42,-4.38,3,14,4,8,0,16,1880,2311,,1200,825,1791,.461,265,719,.369,396,577,.686,346,1184,463,219,127,390,481
51,Central Florida,27,14,13,.519,4.28,4.06,5,10,8,6,4,6,1858,1852,,1090,662,1581,.419,185,582,.318,343,463,.741,299,981,390,185,75,385,488
52,Central Michigan,28,13,15,.464,-2.88,-0.20,6,9,11,4,2,11,2225,2149,,1125,789,1708,.462,258,672,.384,313,437,.716,267,1050,393,184,91,463,554
53,Charleston Southern,29,13,16,.448,-13.19,-6.64,7,10,8,6,5,9,2009,2102,,1175,780,1685,.463,205,623,.329,337,487,.692,284,1083,412,200,85,385,459
54,Charlotte,26,15,11,.577,1.20,-1.49,9,6,12,1,3,10,1771,1701,,1055,625,1410,.443,180,565,.319,271,402,.674,192,814,318,184,86,357,432
55,Chattanooga,30,18,12,.600,-0.24,-2.41,9,8,9,4,7,8,2188,2049,,1205,767,1718,.446,188,626,.300,327,462,.708,236,990,348,167,90,359,505
56,Chicago State,28,4,24,.143,-28.14,-2.66,0,13,3,11,1,11,1723,2292,,1120,777,1618,.480,256,642,.399,482,649,.743,280,971,469,235,56,333,524
