,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
32,Brown,23,13,10,.565,-4.83,-1.87,6,4,10,2,3,8,1558,1597,,70.8,98.0,.299,.357,.526,46.9,47.8,11.4,10.7,.491,17.5,25.7,.218
33,Bryant,30,14,16,.467,-6.43,-6.57,6,11,9,5,5,11,2130,2077,,70.7,97.5,.304,.365,.497,48.3,50.3,9.2,9.9,.467,14.9,28.5,.204
34,Bucknell,30,12,18,.400,-7.89,-3.96,8,9,8,4,3,12,2038,2156,,70.4,102.1,.397,.332,.550,51.9,49.5,9.8,9.0,.515,17.4,26.4,.278
35,Buffalo,28,18,10,.643,2.42,0.08,9,6,9,5,6,4,2201,2101,,74.8,99.5,.293,.336,.521,46.9,47.1,9.4,9.7,.489,17.0,28.3,.210
36,Butler,28,19,9,.679,14.79,9.15,7,8,12,3,4,6,1916,1758,,64.6,96.7,.318,.389,.502,46.7,53.8,8.6,9.2,.463,15.5,24.9,.231
37,Cal Poly,28,7,21,.250,-10.02,-0.06,4,10,7,6,0,13,1887,2099,,68.9,106.0,.424,.359,.562,53.1,53.8,9.0,8.3,.523,16.6,28.0,.304
38,Cal State Bakersfield,29,12,17,.414,-6.78,-3.36,6,8,9,6,3,11,2002,1971,,66.3,100.3,.489,.401,.548,45.2,52.3,7.7,6.8,.500,17.9,24.9,.350
39,Cal State Fullerton,28,10,18,.357,-6.85,-0.93,5,8,5,8,4,9,1907,1990,,69.1,100.6,.343,.324,.533,52.0,47.5,8.8,8.4,.496,16.4,26.0,.247
40,Cal State Northridge,29,12,17,.414,-7.53,-1.05,7,6,8,4,4,12,2178,2284,,71.3,110.4,.297,.414,.571,52.9,55.1,7.2,8.2,.545,15.8,30.5,.214
41,California Baptist,28,20,8,.714,-0.53,-7.23,9,4,14,5,6,3,2251,1921,,71.0,96.2,.303,.320,.494,45.2,48.5,8.1,9.9,.464,14.0,24.4,.202
