team1,team2
Kansas,Houston
Iowa,Louisville
Ohio State,Villanova
West Virginia,Maryland
San Diego State,Arizona State
Auburn,Penn State
Rutgers,Duke
Michigan,Dayton
Baylor,Indiana
Arizona,Michigan State
Illinois,Creighton
Utah State,Florida State
Gonzaga,Southern California
Wisconsin,Oregon
Brigham Young,Kentucky
Colorado,Seton Hall
