team,percentage
Kansas,89.3
Louisville,62.1
Villanova,57.4
Maryland,63.1
San Diego State,72.2
Auburn,68.5
Duke,70.4
Dayton,59.6
Baylor,73.7
Michigan State,58.9
Creighton,66.8
Florida State,68.8
Gonzaga,75.3
Oregon,63.6
Kentucky,54.1
Seton Hall,58.1
