team1,team2
Kansas,Vermont
Hofstra,Little Rock
Texas Tech,Stephen F. Austin
Bowling Green State,Colgate
Indiana,North Texas
Wright State,Radford
Southern California,New Mexico State
Belmont,UC-Irvine
