,3,4,5,6,7
0,A&M-Corpus Chris,Texas A&M,V,70,95
1,A&M-Corpus Chris,Texas,V,56,67
2,A&M-Corpus Chris,Furman,N,73,69
3,A&M-Corpus Chris,Elon,V,85,81
4,A&M-Corpus Chris,Austin Peay,H,61,48
5,A&M-Corpus Chris,Texas St.,H,47,39
6,A&M-Corpus Chris,UTSA,V,85,79
7,A&M-Corpus Chris,Wisconsin,V,49,64
8,A&M-Corpus Chris,Cal Poly,H,80,74
9,A&M-Corpus Chris,Austin Peay,V,74,70
10,A&M-Corpus Chris,Central Ark.,H,94,82
11,A&M-Corpus Chris,McNeese,V,77,68
12,A&M-Corpus Chris,Lamar University,V,91,82
13,A&M-Corpus Chris,Nicholls St.,H,76,71
14,A&M-Corpus Chris,Northwestern St.,V,89,79
15,A&M-Corpus Chris,New Orleans,H,97,76
16,A&M-Corpus Chris,Southeastern La.,H,73,63
17,A&M-Corpus Chris,SFA,H,61,66
18,A&M-Corpus Chris,Incarnate Word,V,65,70
19,A&M-Corpus Chris,Sam Houston St.,H,51,48
20,A&M-Corpus Chris,Houston Baptist,H,83,76
21,A&M-Corpus Chris,SFA,V,58,70
22,A&M-Corpus Chris,New Orleans,V,65,57
23,A&M-Corpus Chris,Incarnate Word,H,90,69
24,A&M-Corpus Chris,Abilene Christian,H,65,59
25,A&M-Corpus Chris,Sam Houston St.,V,75,70
26,A&M-Corpus Chris,Houston Baptist,V,81,71
27,A&M-Corpus Chris,Abilene Christian,V,74,69
28,A&M-Corpus Chris,Sam Houston St.,N,79,76
29,A&M-Corpus Chris,SFA,N,60,82
30,A&M-Corpus Chris,Louisiana,V,72,96
31,Abilene Christian,Portland,V,57,87
32,Abilene Christian,Colorado St.,V,100,108
33,Abilene Christian,Florida A&M,N,72,62
34,Abilene Christian,Oakland,N,57,85
35,Abilene Christian,New Hampshire,H,75,86
36,Abilene Christian,Nebraska,V,63,73
37,Abilene Christian,UC Riverside,H,56,60
38,Abilene Christian,TCU,V,69,80
39,Abilene Christian,Drake,V,70,87
40,Abilene Christian,Central Ark.,V,62,61
41,Abilene Christian,Nicholls St.,V,62,63
42,Abilene Christian,Northwestern St.,H,87,72
43,Abilene Christian,SFA,V,62,97
44,Abilene Christian,McNeese,H,75,67
45,Abilene Christian,Incarnate Word,V,60,74
46,Abilene Christian,Sam Houston St.,V,51,72
47,Abilene Christian,Lamar University,H,80,71
48,Abilene Christian,Houston Baptist,H,79,72
49,Abilene Christian,Southeastern La.,V,60,81
50,Abilene Christian,Lamar University,V,71,67
51,Abilene Christian,Sam Houston St.,H,71,84
52,Abilene Christian,Houston Baptist,V,71,73
53,Abilene Christian,Southeastern La.,H,91,80
54,Abilene Christian,A&M-Corpus Chris,V,59,65
55,Abilene Christian,New Orleans,H,87,84
56,Abilene Christian,Incarnate Word,H,70,74
57,Abilene Christian,A&M-Corpus Chris,H,69,74
58,Air Force,Southern Ill.,V,75,77
59,Air Force,Tennessee Tech,H,80,70
60,Air Force,Mississippi Val.,H,65,64
61,Air Force,Robert Morris,H,64,52
62,Air Force,Colorado,V,70,81
63,Air Force,New Mexico St.,H,66,64
64,Air Force,The Citadel,H,97,93
65,Air Force,Denver,V,61,59
66,Air Force,Ohio St.,V,50,74
67,Air Force,Army West Point,H,80,90
68,Air Force,UC Davis,V,67,60
69,Air Force,San Jose St.,H,64,57
70,Air Force,Wyoming,V,52,64
71,Air Force,Nevada,H,63,86
72,Air Force,Utah St.,V,60,79
73,Air Force,UNLV,V,64,100
74,Air Force,Colorado St.,H,79,83
75,Air Force,Fresno St.,H,55,56
76,Air Force,New Mexico,V,55,84
77,Air Force,San Jose St.,V,54,75
78,Air Force,Wyoming,H,70,62
79,Air Force,Boise St.,H,61,53
80,Air Force,Nevada,V,52,72
81,Air Force,San Diego St.,V,61,70
82,Air Force,UNLV,H,79,74
83,Air Force,New Mexico,H,76,72
84,Air Force,Fresno St.,V,63,64
85,Air Force,Utah St.,H,65,78
86,Air Force,Colorado St.,V,73,87
87,Air Force,UNLV,V,102,108
88,Akron,Cleveland St.,N,65,53
89,Akron,Arkansas,V,88,80
90,Akron,Villanova,V,56,75
91,Akron,Green Bay,V,63,66
92,Akron,Charleston So.,H,82,58
93,Akron,Coppin St.,H,77,71
94,Akron,Marshall,V,75,65
95,Akron,Bethune-Cookman,H,81,60
96,Akron,UC Santa Barbara,N,84,70
97,Akron,Iona,N,78,64
98,Akron,South Carolina St.,H,78,68
99,Akron,Lipscomb,H,80,73
100,Akron,Buffalo,V,75,71
101,Akron,Western Mich.,H,62,53
102,Akron,Central Mich.,V,81,92
103,Akron,Toledo,V,64,78
104,Akron,Eastern Mich.,H,92,88
105,Akron,Miami (OH),H,75,46
106,Akron,Northern Ill.,H,76,66
107,Akron,Ball St.,V,73,64
108,Akron,Ohio,V,80,68
109,Akron,Central Mich.,H,92,87
110,Akron,Bowling Green,V,83,68
111,Akron,Northern Ill.,V,79,80
112,Akron,Buffalo,H,80,70
113,Akron,Kent St.,V,76,85
114,Akron,Miami (OH),V,64,77
115,Akron,Bowling Green,H,89,54
116,Akron,Ohio,H,91,76
117,Akron,Kent St.,H,74,60
118,Akron,Eastern Mich.,N,65,63
119,Akron,Bowling Green,N,80,66
120,Akron,Buffalo,N,61,64
121,Akron,Ohio St.,V,63,72
122,Alabama,Kennesaw St.,H,77,64
123,Alabama,Dayton,V,48,80
124,Alabama,Louisiana,H,105,93
125,Alabama,Xavier,N,45,64
126,Alabama,Wichita St.,N,64,60
127,Alabama,Notre Dame,N,74,73
128,Alabama,Southern Miss.,V,58,55
